yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-04-02 00:00:00,105.071,56.455
2013-04-02 00:00:30,109.206382883,56.04
2013-04-02 00:10:00,104.567800256,55.617
2013-04-02 00:10:30,106.506233499,55.2
2013-04-02 00:20:00,106.804997479,54.779
2013-04-02 00:20:30,110.750157426,54.36
2013-04-02 00:30:00,106.268949397,53.941
2013-04-02 00:30:30,107.75237465,53.52
2013-04-02 00:40:00,113.807282584,53.103
2013-04-02 00:40:30,105.404389174,52.68
2013-04-02 00:50:00,98.7204204361,52.265
2013-04-02 00:50:30,93.9146881617,51.85
2013-04-02 01:00:00,90.4200015834,51.427
2013-04-02 01:00:30,89.8785638545,50.92
2013-04-02 01:10:00,88.0222344772,50.419
2013-04-02 01:10:30,90.5146595659,49.92
2013-04-02 01:20:00,91.5785213875,49.412
2013-04-02 01:20:30,91.4518441975,48.91
2013-04-02 01:30:00,91.5187351379,48.404
2013-04-02 01:30:30,96.195588394,47.9
2013-04-02 01:40:00,90.3641425107,47.397
2013-04-02 01:40:30,93.078231757,46.89
2013-04-02 01:50:00,93.9919177281,46.389
2013-04-02 01:50:30,83.9133620492,45.89
2013-04-02 02:00:00,89.0135002282,45.382
2013-04-02 02:00:30,90.4197856753,44.91
2013-04-02 02:10:00,93.426885684,44.441
2013-04-02 02:10:30,90.9874440559,43.97
2013-04-02 02:20:00,88.1671203034,43.501
2013-04-02 02:20:30,92.44696886,43.03
2013-04-02 02:30:00,93.8412798746,42.56
2013-04-02 02:30:30,85.3277137506,42.09
2013-04-02 02:40:00,87.8514575555,41.619
2013-04-02 02:40:30,84.4447402925,41.15
2013-04-02 02:50:00,82.6950521617,40.679
2013-04-02 02:50:30,80.6189568864,40.21
2013-04-02 03:00:00,72.9106215563,39.738
2013-04-02 03:00:30,76.42215117,39.33
2013-04-02 03:10:00,74.2196517084,38.914
2013-04-02 03:10:30,72.7348268517,38.5
2013-04-02 03:20:00,72.7218560501,38.09
2013-04-02 03:20:30,79.216670776,37.68
2013-04-02 03:30:00,74.7458521696,37.266
2013-04-02 03:30:30,70.3180409771,36.85
2013-04-02 03:40:00,69.8705229149,36.441
2013-04-02 03:40:30,72.3691537307,36.03
2013-04-02 03:50:00,66.9634818852,35.617
2013-04-02 03:50:30,59.3629141546,35.2
2013-04-02 04:00:00,57.967260327,34.793
2013-04-02 04:00:30,55.8980167314,34.39
2013-04-02 04:10:00,52.7495295319,33.996
2013-04-02 04:10:30,48.2407196733,33.6
2013-04-02 04:20:00,57.9728573057,33.199
2013-04-02 04:20:30,60.1430429296,32.8
2013-04-02 04:30:00,57.4456229374,32.403
2013-04-02 04:30:30,56.2337636041,32.0
2013-04-02 04:40:00,52.8854878536,31.606
2013-04-02 04:40:30,54.0352324821,31.21
2013-04-02 04:50:00,46.5336000983,30.809
2013-04-02 04:50:30,41.0002937491,30.41
2013-04-02 05:00:00,38.1560626769,30.012
2013-04-02 05:00:30,39.3216932128,29.59
2013-04-02 05:10:00,40.1819262295,29.17
2013-04-02 05:10:30,43.7296621859,28.75
2013-04-02 05:20:00,41.6834085615,28.327
2013-04-02 05:20:30,45.1769890165,27.91
2013-04-02 05:30:00,46.1934609817,27.485
2013-04-02 05:30:30,45.9175335376,27.06
2013-04-02 05:40:00,42.2582526791,26.643
2013-04-02 05:40:30,39.9434396241,26.22
2013-04-02 05:50:00,40.6725311187,25.8
2013-04-02 05:50:30,45.4063016989,25.38
2013-04-02 06:00:00,42.5933017784,24.958
2013-04-02 06:00:30,35.3409798319,24.53
2013-04-02 06:10:00,36.55068731,24.104
2013-04-02 06:10:30,41.2188541793,23.68
2013-04-02 06:20:00,38.3362812747,23.25
2013-04-02 06:20:30,36.5901531132,22.82
2013-04-02 06:30:00,39.8922709769,22.396
2013-04-02 06:30:30,39.8022798151,21.97
2013-04-02 06:40:00,39.750629193,21.543
2013-04-02 06:40:30,45.0366843729,21.12
2013-04-02 06:50:00,48.2257182007,20.689
2013-04-02 06:50:30,46.2835357344,20.26
2013-04-02 07:00:00,41.9226337465,19.835
2013-04-02 07:00:30,47.4095444448,19.23
2013-04-02 07:10:00,44.0392901967,18.623
2013-04-02 07:10:30,43.2006838968,18.02
2013-04-02 07:20:00,40.5733869373,17.412
2013-04-02 07:20:30,42.788183685,16.81
2013-04-02 07:30:00,35.6917802538,16.2
2013-04-02 07:30:30,36.0761809494,15.59
2013-04-02 07:40:00,36.3716354227,14.988
2013-04-02 07:40:30,33.8118910937,14.38
2013-04-02 07:50:00,37.9746638191,13.777
2013-04-02 07:50:30,36.7790315278,13.17
2013-04-02 08:00:00,41.0514140065,12.565
2013-04-02 08:00:30,38.4524769465,12.0
2013-04-02 08:10:00,38.6340386066,11.431
2013-04-02 08:10:30,44.3830946817,10.86
2013-04-02 08:20:00,39.7845888139,10.297
2013-04-02 08:20:30,44.7251093824,9.73
2013-04-02 08:30:00,45.2886630312,9.162
2013-04-02 08:30:30,44.0075903997,8.6
2013-04-02 08:40:00,39.9955792032,8.028
2013-04-02 08:40:30,41.2662297934,7.46
2013-04-02 08:50:00,46.5841547417,6.894
2013-04-02 08:50:30,46.3766278954,6.33
2013-04-02 09:00:00,43.5841278807,5.76
2013-04-02 09:00:30,47.3460031899,5.58
2013-04-02 09:10:00,48.3914608356,5.408
2013-04-02 09:10:30,55.5075921343,5.23
2013-04-02 09:20:00,51.1350300813,5.056
2013-04-02 09:20:30,50.376667294,4.88
2013-04-02 09:30:00,52.4936968973,4.704
2013-04-02 09:30:30,57.7223460691,4.53
2013-04-02 09:40:00,63.6701815241,4.352
2013-04-02 09:40:30,61.2323249126,4.18
2013-04-02 09:50:00,57.8652872908,4.0
2013-04-02 09:50:30,53.8448270066,3.82
2013-04-02 10:00:00,56.827176021,3.648
2013-04-02 10:00:30,59.0831520974,4.02
2013-04-02 10:10:00,59.041229083,4.4
2013-04-02 10:10:30,54.7742471961,4.78
2013-04-02 10:20:00,57.9226209195,5.152
2013-04-02 10:20:30,56.6377652687,5.53
2013-04-02 10:30:00,58.3715739245,5.904
2013-04-02 10:30:30,62.3029241746,6.28
2013-04-02 10:40:00,60.0100991568,6.655
2013-04-02 10:40:30,57.4829261435,7.03
2013-04-02 10:50:00,54.4649592486,7.407
2013-04-02 10:50:30,48.8376561292,7.78
2013-04-02 11:00:00,49.699582528,8.159
2013-04-02 11:00:30,51.9267597308,9.07
2013-04-02 11:10:00,57.563912794,9.979
2013-04-02 11:10:30,59.1482056903,10.89
2013-04-02 11:20:00,63.9519178219,11.799
2013-04-02 11:20:30,66.8929342736,12.71
2013-04-02 11:30:00,72.5120624134,13.619
2013-04-02 11:30:30,70.0049655753,14.53
2013-04-02 11:40:00,69.7337572891,15.439
2013-04-02 11:40:30,68.0197925085,16.35
2013-04-02 11:50:00,68.0492174045,17.259
2013-04-02 11:50:30,67.6594297371,18.17
2013-04-02 12:00:00,59.9558422643,19.079
2013-04-02 12:00:30,66.6260362191,20.16
2013-04-02 12:10:00,67.8682239235,21.234
2013-04-02 12:10:30,67.8800530524,22.31
2013-04-02 12:20:00,68.6183741242,23.388
2013-04-02 12:20:30,66.4843371763,24.47
2013-04-02 12:30:00,73.3419162806,25.543
2013-04-02 12:30:30,75.6743364705,26.62
2013-04-02 12:40:00,71.8494508955,27.698
2013-04-02 12:40:30,70.5523075017,28.78
2013-04-02 12:50:00,70.9370311086,29.852
2013-04-02 12:50:30,71.6221382493,30.93
2013-04-02 13:00:00,71.9163915072,32.007
2013-04-02 13:00:30,72.1047471707,33.09
2013-04-02 13:10:00,75.6978096157,34.169
2013-04-02 13:10:30,72.1808042912,35.25
2013-04-02 13:20:00,77.1971060929,36.33
2013-04-02 13:20:30,85.3501570186,37.41
2013-04-02 13:30:00,82.4741669399,38.492
