yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-07-02 00:00:00,22.001,22.581
2013-07-02 00:00:30,22.3501162651,22.43
2013-07-02 00:10:00,21.5466581835,22.281
2013-07-02 00:10:30,20.5604673011,22.13
2013-07-02 00:20:00,21.3972616425,21.981
2013-07-02 00:20:30,21.1374764565,21.83
2013-07-02 00:30:00,20.329160482,21.681
2013-07-02 00:30:30,19.6060657751,21.53
2013-07-02 00:40:00,19.8832874739,21.38
2013-07-02 00:40:30,18.0559196591,21.23
2013-07-02 00:50:00,17.0509885032,21.08
2013-07-02 00:50:30,16.436738139,20.93
2013-07-02 01:00:00,15.2933206814,20.78
2013-07-02 01:00:30,13.7188998314,20.72
2013-07-02 01:10:00,13.9375242901,20.65
2013-07-02 01:10:30,14.235165238,20.58
2013-07-02 01:20:00,14.4620026249,20.52
2013-07-02 01:20:30,14.4315808701,20.45
2013-07-02 01:30:00,14.1756126414,20.39
2013-07-02 01:30:30,14.441131066,20.33
2013-07-02 01:40:00,14.5802740327,20.26
2013-07-02 01:40:30,13.9631175153,20.2
2013-07-02 01:50:00,13.5044331775,20.13
2013-07-02 01:50:30,13.8766656412,20.06
2013-07-02 02:00:00,13.8364406485,20.0
2013-07-02 02:00:30,14.9316861419,19.92
2013-07-02 02:10:00,15.481740029,19.846
2013-07-02 02:10:30,14.8888728252,19.77
2013-07-02 02:20:00,14.3783306281,19.692
2013-07-02 02:20:30,15.000706715,19.62
2013-07-02 02:30:00,15.8674166481,19.538
2013-07-02 02:30:30,15.5034357041,19.46
2013-07-02 02:40:00,16.2696898869,19.383
2013-07-02 02:40:30,17.1353885155,19.31
2013-07-02 02:50:00,17.8781315837,19.229
2013-07-02 02:50:30,18.0207801755,19.15
2013-07-02 03:00:00,17.3312934014,19.075
2013-07-02 03:00:30,16.0876827968,18.93
2013-07-02 03:10:00,15.3077270128,18.794
2013-07-02 03:10:30,14.6496861482,18.65
2013-07-02 03:20:00,15.8102283891,18.514
2013-07-02 03:20:30,14.8986304811,18.37
2013-07-02 03:30:00,15.5476790251,18.233
2013-07-02 03:30:30,14.7249577495,18.09
2013-07-02 03:40:00,14.1380549554,17.952
2013-07-02 03:40:30,14.7030434999,17.81
2013-07-02 03:50:00,14.8910148388,17.672
2013-07-02 03:50:30,16.1988380131,17.53
2013-07-02 04:00:00,16.4514312446,17.391
2013-07-02 04:00:30,15.0812476752,17.32
2013-07-02 04:10:00,13.1740270765,17.242
2013-07-02 04:10:30,13.0088772325,17.17
2013-07-02 04:20:00,12.679039751,17.093
2013-07-02 04:20:30,12.6265161692,17.02
2013-07-02 04:30:00,12.4304156122,16.944
2013-07-02 04:30:30,12.8503153726,16.87
2013-07-02 04:40:00,12.846544141,16.795
2013-07-02 04:40:30,12.6990218059,16.72
2013-07-02 04:50:00,12.4245144957,16.646
2013-07-02 04:50:30,13.3818125599,16.57
2013-07-02 05:00:00,13.2610828737,16.497
2013-07-02 05:00:30,13.4110182985,16.5
2013-07-02 05:10:00,13.3587076809,16.501
2013-07-02 05:10:30,13.4180317499,16.5
2013-07-02 05:20:00,13.5102185126,16.506
2013-07-02 05:20:30,13.1385499553,16.51
2013-07-02 05:30:00,13.0357144186,16.51
2013-07-02 05:30:30,12.0342510147,16.51
2013-07-02 05:40:00,11.1648160266,16.514
2013-07-02 05:40:30,11.3850501663,16.52
2013-07-02 05:50:00,12.0225289018,16.519
2013-07-02 05:50:30,10.4329378188,16.52
2013-07-02 06:00:00,10.7636603774,16.523
2013-07-02 06:00:30,9.46215238863,16.45
2013-07-02 06:10:00,9.53756113442,16.382
2013-07-02 06:10:30,7.99424200519,16.31
2013-07-02 06:20:00,7.31032627423,16.242
2013-07-02 06:20:30,7.13289676518,16.17
2013-07-02 06:30:00,6.83223729446,16.101
2013-07-02 06:30:30,7.09219155697,16.03
2013-07-02 06:40:00,6.86172535711,15.96
2013-07-02 06:40:30,7.48140475622,15.89
2013-07-02 06:50:00,6.64274073567,15.82
2013-07-02 06:50:30,7.43901460177,15.75
2013-07-02 07:00:00,7.81462069807,15.679
2013-07-02 07:00:30,7.88542863879,15.37
2013-07-02 07:10:00,6.55672319546,15.065
2013-07-02 07:10:30,7.51559233282,14.76
2013-07-02 07:20:00,5.84836495597,14.451
2013-07-02 07:20:30,5.40342304309,14.14
2013-07-02 07:30:00,4.86177636217,13.837
2013-07-02 07:30:30,5.42331461585,13.53
2013-07-02 07:40:00,4.99530358456,13.223
2013-07-02 07:40:30,5.91458230936,12.92
2013-07-02 07:50:00,4.83873579991,12.609
2013-07-02 07:50:30,4.4240995957,12.3
2013-07-02 08:00:00,4.27947964351,11.995
2013-07-02 08:00:30,4.33234307286,11.85
2013-07-02 08:10:00,4.37854460868,11.711
2013-07-02 08:10:30,3.19291873763,11.57
2013-07-02 08:20:00,4.77284759359,11.428
2013-07-02 08:20:30,6.1065875466,11.29
2013-07-02 08:30:00,5.57306872507,11.145
2013-07-02 08:30:30,6.69725990962,11.0
2013-07-02 08:40:00,7.22757604472,10.861
2013-07-02 08:40:30,6.84560352183,10.72
2013-07-02 08:50:00,6.71309412775,10.578
2013-07-02 08:50:30,7.23898328762,10.44
2013-07-02 09:00:00,6.64118399298,10.294
2013-07-02 09:00:30,6.87708292563,10.2
2013-07-02 09:10:00,7.22336024783,10.116
2013-07-02 09:10:30,7.44857649288,10.03
2013-07-02 09:20:00,6.96852852003,9.938
2013-07-02 09:20:30,7.66323024304,9.85
2013-07-02 09:30:00,8.40400076868,9.759
2013-07-02 09:30:30,6.05292566544,9.67
