yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-01-02 00:00:00,186.5,41.634
2013-01-02 00:00:30,179.774966445,39.48
2013-01-02 00:10:00,174.609753717,37.316
2013-01-02 00:10:30,176.962461291,35.16
2013-01-02 00:20:00,157.381271943,32.998
2013-01-02 00:20:30,154.243526888,30.84
2013-01-02 00:30:00,152.145044823,28.68
2013-01-02 00:30:30,154.215153235,26.52
2013-01-02 00:40:00,142.791813062,24.361
2013-01-02 00:40:30,146.887767196,22.2
2013-01-02 00:50:00,146.923772792,20.043
2013-01-02 00:50:30,142.219848179,17.88
2013-01-02 01:00:00,140.524498871,15.725
2013-01-02 01:00:30,139.403732659,15.44
2013-01-02 01:10:00,140.865430943,15.156
2013-01-02 01:10:30,144.828854647,14.87
2013-01-02 01:20:00,147.098384901,14.588
2013-01-02 01:20:30,150.820351433,14.3
2013-01-02 01:30:00,137.934052027,14.02
2013-01-02 01:30:30,131.338972293,13.74
2013-01-02 01:40:00,134.666991816,13.451
2013-01-02 01:40:30,137.074200567,13.17
2013-01-02 01:50:00,139.522106969,12.883
2013-01-02 01:50:30,144.337163496,12.6
2013-01-02 02:00:00,130.431383314,12.314
2013-01-02 02:00:30,149.019171079,12.32
2013-01-02 02:10:00,137.922505153,12.332
2013-01-02 02:10:30,136.150179409,12.34
2013-01-02 02:20:00,143.479994875,12.35
2013-01-02 02:20:30,153.77677834,12.36
2013-01-02 02:30:00,149.707853973,12.368
2013-01-02 02:30:30,141.908876434,12.38
2013-01-02 02:40:00,140.067159227,12.386
2013-01-02 02:40:30,146.492513062,12.4
2013-01-02 02:50:00,140.513495143,12.404
2013-01-02 02:50:30,133.109411809,12.41
2013-01-02 03:00:00,136.350673266,12.422
2013-01-02 03:00:30,118.901558472,12.22
2013-01-02 03:10:00,111.302678852,12.013
2013-01-02 03:10:30,120.781973829,11.81
2013-01-02 03:20:00,115.397835583,11.605
2013-01-02 03:20:30,116.628404548,11.4
2013-01-02 03:30:00,117.102744378,11.196
2013-01-02 03:30:30,118.395541524,10.99
2013-01-02 03:40:00,115.547277454,10.787
2013-01-02 03:40:30,93.0922091123,10.58
2013-01-02 03:50:00,91.3368307792,10.379
2013-01-02 03:50:30,96.3248627258,10.17
2013-01-02 04:00:00,87.2838645398,9.97
2013-01-02 04:00:30,107.264304656,9.7
2013-01-02 04:10:00,120.232979493,9.439
2013-01-02 04:10:30,139.755651494,9.17
2013-01-02 04:20:00,146.503846431,8.907
2013-01-02 04:20:30,156.331617189,8.64
2013-01-02 04:30:00,157.752641522,8.376
2013-01-02 04:30:30,144.686127953,8.11
2013-01-02 04:40:00,154.767531034,7.844
2013-01-02 04:40:30,153.776917137,7.58
2013-01-02 04:50:00,150.617033836,7.312
2013-01-02 04:50:30,144.643005845,7.05
2013-01-02 05:00:00,144.599418192,6.781
2013-01-02 05:00:30,144.198008232,6.55
2013-01-02 05:10:00,133.976836364,6.327
2013-01-02 05:10:30,141.733017401,6.1
2013-01-02 05:20:00,143.542856089,5.872
2013-01-02 05:20:30,139.930686385,5.64
2013-01-02 05:30:00,127.597088528,5.418
2013-01-02 05:30:30,136.594038415,5.19
2013-01-02 05:40:00,126.419291736,4.964
2013-01-02 05:40:30,131.863126257,4.74
2013-01-02 05:50:00,134.399621044,4.509
2013-01-02 05:50:30,134.847917191,4.28
2013-01-02 06:00:00,141.587710212,4.055
2013-01-02 06:00:30,133.036953074,4.18
2013-01-02 06:10:00,138.096239348,4.302
2013-01-02 06:10:30,142.095608324,4.43
2013-01-02 06:20:00,146.373008881,4.549
2013-01-02 06:20:30,152.319461061,4.67
2013-01-02 06:30:00,143.662385632,4.795
2013-01-02 06:30:30,124.301889207,4.92
2013-01-02 06:40:00,133.906057923,5.042
2013-01-02 06:40:30,137.540969359,5.17
2013-01-02 06:50:00,147.226155091,5.289
2013-01-02 06:50:30,163.319364919,5.41
2013-01-02 07:00:00,170.408269474,5.536
2013-01-02 07:00:30,168.415295393,5.69
2013-01-02 07:10:00,172.35045723,5.848
2013-01-02 07:10:30,172.886893211,6.0
2013-01-02 07:20:00,186.814696321,6.159
2013-01-02 07:20:30,179.754599452,6.31
2013-01-02 07:30:00,182.866694585,6.47
2013-01-02 07:30:30,171.440936054,6.63
2013-01-02 07:40:00,183.304582435,6.782
2013-01-02 07:40:30,171.768045575,6.94
2013-01-02 07:50:00,176.637465237,7.094
2013-01-02 07:50:30,170.944395885,7.25
2013-01-02 08:00:00,175.63591836,7.405
2013-01-02 08:00:30,174.88135219,7.69
2013-01-02 08:10:00,170.540007159,7.971
2013-01-02 08:10:30,177.195804089,8.25
2013-01-02 08:20:00,152.114959512,8.537
2013-01-02 08:20:30,146.904695225,8.82
2013-01-02 08:30:00,145.933994561,9.103
2013-01-02 08:30:30,151.754036535,9.39
2013-01-02 08:40:00,162.567122192,9.669
2013-01-02 08:40:30,153.249803482,9.95
2013-01-02 08:50:00,153.200915082,10.235
2013-01-02 08:50:30,158.999356793,10.52
2013-01-02 09:00:00,155.857860194,10.801
2013-01-02 09:00:30,159.323799285,11.34
2013-01-02 09:10:00,144.494603075,11.884
2013-01-02 09:10:30,144.249125085,12.43
2013-01-02 09:20:00,160.627816991,12.967
2013-01-02 09:20:30,140.414187428,13.51
2013-01-02 09:30:00,138.034735477,14.05
2013-01-02 09:30:30,151.981058333,14.59
2013-01-02 09:40:00,151.189247149,15.134
2013-01-02 09:40:30,153.374752327,15.68
2013-01-02 09:50:00,162.288753483,16.217
2013-01-02 09:50:30,155.912867197,16.76
2013-01-02 10:00:00,165.377835267,17.3
2013-01-02 10:00:30,160.666812877,17.58
2013-01-02 10:10:00,163.801403234,17.864
2013-01-02 10:10:30,154.492628093,18.15
2013-01-02 10:20:00,150.072552345,18.427
2013-01-02 10:20:30,147.485619673,18.71
2013-01-02 10:30:00,138.612012836,18.991
2013-01-02 10:30:30,122.203689483,19.27
2013-01-02 10:40:00,140.738712581,19.554
2013-01-02 10:40:30,144.898537519,19.84
2013-01-02 10:50:00,150.754765347,20.117
2013-01-02 10:50:30,151.502854303,20.4
2013-01-02 11:00:00,175.9133125,20.681
2013-01-02 11:00:30,165.444188429,21.07
2013-01-02 11:10:00,161.334813999,21.464
2013-01-02 11:10:30,163.330887779,21.86
2013-01-02 11:20:00,157.426313726,22.247
2013-01-02 11:20:30,153.194699531,22.64
2013-01-02 11:30:00,144.547300517,23.03
2013-01-02 11:30:30,117.288444803,23.42
2013-01-02 11:40:00,127.309258318,23.813
2013-01-02 11:40:30,127.416871399,24.2
2013-01-02 11:50:00,113.626516722,24.596
2013-01-02 11:50:30,107.248935629,24.99
2013-01-02 12:00:00,110.372842778,25.379
2013-01-02 12:00:30,95.8976794705,26.45
2013-01-02 12:10:00,120.492556537,27.515
2013-01-02 12:10:30,118.289369592,28.58
2013-01-02 12:20:00,123.689156019,29.651
2013-01-02 12:20:30,129.638899403,30.72
2013-01-02 12:30:00,130.629294152,31.787
2013-01-02 12:30:30,120.321682481,32.85
2013-01-02 12:40:00,135.374112392,33.922
2013-01-02 12:40:30,156.380348168,34.99
2013-01-02 12:50:00,145.680873463,36.058
2013-01-02 12:50:30,139.33516376,37.13
2013-01-02 13:00:00,119.221183387,38.194
2013-01-02 13:00:30,119.273504557,39.64
2013-01-02 13:10:00,114.735976426,41.09
2013-01-02 13:10:30,104.402951589,42.54
2013-01-02 13:20:00,96.4701504351,43.987
2013-01-02 13:20:30,96.5921419795,45.44
2013-01-02 13:30:00,91.3878034193,46.883
2013-01-02 13:30:30,103.227609183,48.33
2013-01-02 13:40:00,109.179301982,49.779
2013-01-02 13:40:30,117.894593034,51.23
2013-01-02 13:50:00,138.265011563,52.676
2013-01-02 13:50:30,151.224884538,54.12
2013-01-02 14:00:00,148.509515264,55.572
2013-01-02 14:00:30,140.613279999,58.06
2013-01-02 14:10:00,145.867951096,60.541
2013-01-02 14:10:30,152.157196157,63.02
2013-01-02 14:20:00,153.417455778,65.509
2013-01-02 14:20:30,149.776629834,67.99
2013-01-02 14:30:00,145.643409076,70.477
2013-01-02 14:30:30,157.729135774,72.96
2013-01-02 14:40:00,151.710072457,75.446
2013-01-02 14:40:30,141.262963325,77.93
