yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-10-02 00:00:00,115.862,148.105
2013-10-02 00:00:30,95.9605127988,145.75
2013-10-02 00:10:00,89.660906176,143.386
2013-10-02 00:10:30,90.2115500176,141.03
2013-10-02 00:20:00,88.9575327848,138.667
2013-10-02 00:20:30,75.4673182262,136.31
2013-10-02 00:30:00,79.6546040531,133.948
2013-10-02 00:30:30,70.7446787575,131.59
2013-10-02 00:40:00,83.398284351,129.23
2013-10-02 00:40:30,67.3606769498,126.87
2013-10-02 00:50:00,88.0843051301,124.511
2013-10-02 00:50:30,71.7318509925,122.15
2013-10-02 01:00:00,68.9552347261,119.792
2013-10-02 01:00:30,72.0730604969,118.93
2013-10-02 01:10:00,74.2631277617,118.076
2013-10-02 01:10:30,92.7463609533,117.22
2013-10-02 01:20:00,99.5795337622,116.36
2013-10-02 01:20:30,73.3473472505,115.5
2013-10-02 01:30:00,71.8824637688,114.644
2013-10-02 01:30:30,62.2835805117,113.79
2013-10-02 01:40:00,58.885841112,112.928
2013-10-02 01:40:30,48.7041595411,112.07
2013-10-02 01:50:00,42.5528183063,111.212
2013-10-02 01:50:30,43.6505496718,110.35
2013-10-02 02:00:00,45.417737797,109.496
2013-10-02 02:00:30,58.4056210335,112.4
2013-10-02 02:10:00,76.9092539265,115.305
2013-10-02 02:10:30,74.7923674269,118.21
2013-10-02 02:20:00,62.3655046936,121.114
2013-10-02 02:20:30,55.4860836498,124.02
2013-10-02 02:30:00,46.7849340554,126.922
2013-10-02 02:30:30,46.6708278858,129.83
2013-10-02 02:40:00,42.3846751611,132.731
2013-10-02 02:40:30,45.89807707,135.64
2013-10-02 02:50:00,50.3437167709,138.54
2013-10-02 02:50:30,49.239978376,141.44
2013-10-02 03:00:00,65.9311962197,144.349
2013-10-02 03:00:30,80.6496262746,146.41
2013-10-02 03:10:00,86.8697450766,148.473
2013-10-02 03:10:30,87.2387701099,150.53
2013-10-02 03:20:00,101.857282307,152.596
2013-10-02 03:20:30,88.4077008481,154.66
2013-10-02 03:30:00,106.237830106,156.72
2013-10-02 03:30:30,106.4033943,158.78
2013-10-02 03:40:00,98.8196358389,160.844
2013-10-02 03:40:30,97.1084703743,162.91
2013-10-02 03:50:00,92.8920607129,164.967
2013-10-02 03:50:30,100.595728836,167.03
2013-10-02 04:00:00,96.9193202712,169.091
2013-10-02 04:00:30,95.3090906107,167.09
2013-10-02 04:10:00,96.6636293882,165.09
2013-10-02 04:10:30,97.6384923381,163.09
2013-10-02 04:20:00,93.3288084067,161.089
2013-10-02 04:20:30,96.998986156,159.09
2013-10-02 04:30:00,92.191816226,157.088
2013-10-02 04:30:30,98.1459654978,155.09
2013-10-02 04:40:00,109.029026629,153.087
2013-10-02 04:40:30,117.800631372,151.09
2013-10-02 04:50:00,122.049089053,149.086
2013-10-02 04:50:30,127.86648008,147.09
2013-10-02 05:00:00,122.684440575,145.085
2013-10-02 05:00:30,116.549327125,141.62
2013-10-02 05:10:00,120.358113454,138.165
2013-10-02 05:10:30,125.162482667,134.7
2013-10-02 05:20:00,121.294592952,131.244
2013-10-02 05:20:30,110.152782058,127.78
2013-10-02 05:30:00,125.798817163,124.324
2013-10-02 05:30:30,115.887385798,120.86
2013-10-02 05:40:00,107.112554501,117.404
2013-10-02 05:40:30,100.731489613,113.94
2013-10-02 05:50:00,97.8132182203,110.483
2013-10-02 05:50:30,91.4154005171,107.02
2013-10-02 06:00:00,96.4936667253,103.563
2013-10-02 06:00:30,91.9143037579,99.75
2013-10-02 06:10:00,75.5066813373,95.931
2013-10-02 06:10:30,72.209158669,92.12
2013-10-02 06:20:00,66.9838248092,88.3
2013-10-02 06:20:30,67.5494406019,84.48
2013-10-02 06:30:00,64.9728037529,80.668
2013-10-02 06:30:30,45.1940721031,76.85
2013-10-02 06:40:00,52.8720550539,73.036
2013-10-02 06:40:30,47.3394972276,69.22
2013-10-02 06:50:00,43.1558728524,65.405
2013-10-02 06:50:30,45.0788771239,61.59
