yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-04-02 00:00:00,57.894,56.455
2013-04-02 00:00:30,60.472,56.04
2013-04-02 00:10:00,56.38,55.617
2013-04-02 00:10:30,58.485,55.2
2013-04-02 00:20:00,55.22,54.779
2013-04-02 00:20:30,56.859,54.36
2013-04-02 00:30:00,54.51,53.941
2013-04-02 00:30:30,56.514,53.52
2013-04-02 00:40:00,63.78,53.103
2013-04-02 00:40:30,60.153,52.68
2013-04-02 00:50:00,59.49,52.265
2013-04-02 00:50:30,59.115,51.85
2013-04-02 01:00:00,43.87,51.427
2013-04-02 01:00:30,35.669,50.92
2013-04-02 01:10:00,39.022,50.419
2013-04-02 01:10:30,43.309,49.92
2013-04-02 01:20:00,42.751,49.412
2013-04-02 01:20:30,43.662,48.91
2013-04-02 01:30:00,45.05,48.404
2013-04-02 01:30:30,47.834,47.9
2013-04-02 01:40:00,40.792,47.397
2013-04-02 01:40:30,30.838,46.89
2013-04-02 01:50:00,44.039,46.389
2013-04-02 01:50:30,33.409,45.89
2013-04-02 02:00:00,35.52,45.382
2013-04-02 02:00:30,43.732,44.91
2013-04-02 02:10:00,41.83,44.441
2013-04-02 02:10:30,39.535,43.97
2013-04-02 02:20:00,28.811,43.501
2013-04-02 02:20:30,37.621,43.03
2013-04-02 02:30:00,34.017,42.56
2013-04-02 02:30:30,37.641,42.09
2013-04-02 02:40:00,40.819,41.619
2013-04-02 02:40:30,29.459,41.15
2013-04-02 02:50:00,31.309,40.679
2013-04-02 02:50:30,33.529,40.21
2013-04-02 03:00:00,40.0,39.738
2013-04-02 03:00:30,39.058,39.33
2013-04-02 03:10:00,39.041,38.914
2013-04-02 03:10:30,34.758,38.5
2013-04-02 03:20:00,31.331,38.09
2013-04-02 03:20:30,34.539,37.68
2013-04-02 03:30:00,33.587,37.266
2013-04-02 03:30:30,31.387,36.85
2013-04-02 03:40:00,19.219,36.441
2013-04-02 03:40:30,36.225,36.03
