yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-10-02 00:00:00,12.23,3.0
2013-10-02 00:00:30,27.24,3.0
2013-10-02 00:10:00,13.36,3.0
2013-10-02 00:10:30,7.43,3.0
2013-10-02 00:20:00,4.41,3.0
2013-10-02 00:20:30,3.542,3.0
2013-10-02 00:30:00,0.0,3.0
2013-10-02 00:30:30,0.0,3.0
2013-10-02 00:40:00,0.0,3.0
2013-10-02 00:40:30,0.0,3.0
2013-10-02 00:50:00,0.0,3.0
2013-10-02 00:50:30,0.0,3.0
2013-10-02 01:00:00,0.0,3.0
2013-10-02 01:00:30,0.0,3.0
2013-10-02 01:10:00,0.0,3.0
2013-10-02 01:10:30,0.0,3.0
2013-10-02 01:20:00,0.0,3.0
2013-10-02 01:20:30,0.0,3.0
2013-10-02 01:30:00,0.0,3.0
2013-10-02 01:30:30,0.0,3.0
2013-10-02 01:40:00,0.0,3.0
2013-10-02 01:40:30,1.54,3.0
2013-10-02 01:50:00,0.0,3.0
2013-10-02 01:50:30,0.0,3.0
2013-10-02 02:00:00,0.0,3.0
2013-10-02 02:00:30,0.0,3.0
2013-10-02 02:10:00,1.253,3.0
2013-10-02 02:10:30,0.0,3.0
2013-10-02 02:20:00,0.0,3.0
2013-10-02 02:20:30,1.418,3.0
2013-10-02 02:30:00,0.0,3.0
2013-10-02 02:30:30,0.0,3.0
2013-10-02 02:40:00,0.0,3.0
2013-10-02 02:40:30,0.865,3.0
2013-10-02 02:50:00,0.0,3.0
2013-10-02 02:50:30,0.0,3.0
2013-10-02 03:00:00,0.52,3.0
2013-10-02 03:00:30,0.0,2.96
2013-10-02 03:10:00,0.0,2.923
2013-10-02 03:10:30,0.0,2.88
2013-10-02 03:20:00,0.0,2.846
2013-10-02 03:20:30,0.0,2.81
2013-10-02 03:30:00,0.0,2.769
2013-10-02 03:30:30,0.0,2.73
2013-10-02 03:40:00,0.0,2.693
2013-10-02 03:40:30,0.0,2.65
2013-10-02 03:50:00,0.0,2.616
2013-10-02 03:50:30,0.0,2.58
2013-10-02 04:00:00,0.0,2.539
2013-10-02 04:00:30,0.0,2.48
2013-10-02 04:10:00,0.0,2.416
2013-10-02 04:10:30,0.0,2.35
2013-10-02 04:20:00,0.0,2.292
2013-10-02 04:20:30,0.0,2.23
2013-10-02 04:30:00,0.0,2.169
2013-10-02 04:30:30,0.0,2.11
2013-10-02 04:40:00,0.0,2.046
2013-10-02 04:40:30,0.0,1.98
2013-10-02 04:50:00,0.0,1.922
2013-10-02 04:50:30,0.0,1.86
2013-10-02 05:00:00,0.0,1.799
2013-10-02 05:00:30,0.0,1.81
2013-10-02 05:10:00,0.0,1.829
2013-10-02 05:10:30,0.0,1.84
2013-10-02 05:20:00,0.0,1.858
2013-10-02 05:20:30,0.0,1.87
2013-10-02 05:30:00,0.0,1.888
2013-10-02 05:30:30,0.0,1.9
2013-10-02 05:40:00,0.0,1.918
2013-10-02 05:40:30,0.0,1.93
2013-10-02 05:50:00,0.0,1.947
2013-10-02 05:50:30,4.307,1.96
2013-10-02 06:00:00,2.23,1.977
2013-10-02 06:00:30,4.617,2.0
2013-10-02 06:10:00,2.505,2.025
2013-10-02 06:10:30,2.567,2.05
2013-10-02 06:20:00,3.87,2.072
2013-10-02 06:20:30,6.994,2.1
2013-10-02 06:30:00,6.143,2.119
2013-10-02 06:30:30,0.0,2.14
2013-10-02 06:40:00,2.954,2.167
2013-10-02 06:40:30,2.599,2.19
2013-10-02 06:50:00,6.045,2.215
2013-10-02 06:50:30,6.373,2.24
2013-10-02 07:00:00,3.18,2.262
2013-10-02 07:00:30,4.106,2.32
2013-10-02 07:10:00,4.255,2.385
2013-10-02 07:10:30,4.385,2.45
2013-10-02 07:20:00,6.234,2.508
2013-10-02 07:20:30,5.112,2.57
2013-10-02 07:30:00,3.59,2.631
2013-10-02 07:30:30,1.77,2.69
2013-10-02 07:40:00,2.11,2.754
2013-10-02 07:40:30,0.494,2.82
2013-10-02 07:50:00,11.8,2.877
2013-10-02 07:50:30,6.897,2.94
2013-10-02 08:00:00,9.11,3.0
2013-10-02 08:00:30,7.35,3.0
2013-10-02 08:10:00,11.8,3.0
2013-10-02 08:10:30,16.06,3.0
2013-10-02 08:20:00,18.219,3.0
2013-10-02 08:20:30,36.146,3.0
2013-10-02 08:30:00,67.54,3.0
2013-10-02 08:30:30,26.36,3.0
2013-10-02 08:40:00,17.95,3.0
2013-10-02 08:40:30,22.76,3.0
2013-10-02 08:50:00,21.54,3.0
2013-10-02 08:50:30,16.54,3.0
2013-10-02 09:00:00,23.0,3.0
2013-10-02 09:00:30,13.068,3.0
2013-10-02 09:10:00,10.038,3.0
2013-10-02 09:10:30,3.515,3.0
2013-10-02 09:20:00,14.472,3.0
2013-10-02 09:20:30,12.301,3.0
2013-10-02 09:30:00,5.12,3.0
2013-10-02 09:30:30,6.36,3.0
2013-10-02 09:40:00,13.53,3.0
2013-10-02 09:40:30,4.098,3.0
2013-10-02 09:50:00,9.28,3.0
2013-10-02 09:50:30,10.993,3.0
2013-10-02 10:00:00,9.953,3.0
2013-10-02 10:00:30,5.5,3.0
2013-10-02 10:10:00,7.64,3.0
2013-10-02 10:10:30,4.159,3.0
2013-10-02 10:20:00,0.0,3.0
2013-10-02 10:20:30,0.0,3.0
2013-10-02 10:30:00,0.0,3.0
2013-10-02 10:30:30,0.0,3.0
2013-10-02 10:40:00,0.0,3.0
2013-10-02 10:40:30,0.0,3.0
2013-10-02 10:50:00,0.0,3.0
2013-10-02 10:50:30,0.67,3.0
2013-10-02 11:00:00,0.0,3.0
2013-10-02 11:00:30,0.0,3.0
2013-10-02 11:10:00,0.0,3.0
2013-10-02 11:10:30,0.0,3.0
2013-10-02 11:20:00,0.0,3.0
2013-10-02 11:20:30,0.0,3.0
2013-10-02 11:30:00,0.0,3.0
2013-10-02 11:30:30,0.0,3.0
2013-10-02 11:40:00,0.0,3.0
2013-10-02 11:40:30,0.0,3.0
2013-10-02 11:50:00,0.0,3.0
2013-10-02 11:50:30,1.16,3.0
2013-10-02 12:00:00,0.0,3.0
2013-10-02 12:00:30,0.0,3.0
2013-10-02 12:10:00,0.0,3.0
2013-10-02 12:10:30,0.0,3.0
2013-10-02 12:20:00,0.0,3.0
2013-10-02 12:20:30,0.0,3.0
2013-10-02 12:30:00,0.0,3.0
2013-10-02 12:30:30,0.0,3.0
2013-10-02 12:40:00,0.0,3.0
2013-10-02 12:40:30,0.0,3.0
2013-10-02 12:50:00,0.0,3.0
2013-10-02 12:50:30,0.0,3.0
2013-10-02 13:00:00,0.0,3.0
2013-10-02 13:00:30,0.0,3.0
2013-10-02 13:10:00,0.0,3.0
2013-10-02 13:10:30,0.0,3.0
2013-10-02 13:20:00,0.0,3.0
2013-10-02 13:20:30,0.0,3.0
2013-10-02 13:30:00,0.0,3.0
2013-10-02 13:30:30,0.0,3.0
2013-10-02 13:40:00,0.0,3.0
2013-10-02 13:40:30,0.0,3.0
2013-10-02 13:50:00,0.0,3.0
2013-10-02 13:50:30,0.0,3.0
2013-10-02 14:00:00,0.0,3.0
2013-10-02 14:00:30,0.0,3.0
2013-10-02 14:10:00,0.0,3.0
2013-10-02 14:10:30,0.0,3.0
2013-10-02 14:20:00,0.0,3.0
2013-10-02 14:20:30,0.0,3.0
2013-10-02 14:30:00,0.0,3.0
2013-10-02 14:30:30,1.142,3.0
2013-10-02 14:40:00,0.0,3.0
2013-10-02 14:40:30,0.0,3.0
2013-10-02 14:50:00,0.0,3.0
2013-10-02 14:50:30,0.0,3.0
2013-10-02 15:00:00,0.0,3.0
2013-10-02 15:00:30,0.833,3.0
2013-10-02 15:10:00,0.0,3.0
2013-10-02 15:10:30,0.0,3.0
2013-10-02 15:20:00,0.0,3.0
2013-10-02 15:20:30,0.0,3.0
2013-10-02 15:30:00,1.138,3.0
2013-10-02 15:30:30,0.0,3.0
2013-10-02 15:40:00,0.0,3.0
2013-10-02 15:40:30,0.0,3.0
2013-10-02 15:50:00,0.0,3.0
2013-10-02 15:50:30,0.0,3.0
2013-10-02 16:00:00,0.0,3.0
2013-10-02 16:00:30,0.0,3.0
2013-10-02 16:10:00,0.3,3.0
2013-10-02 16:10:30,0.0,3.0
2013-10-02 16:20:00,0.0,3.0
2013-10-02 16:20:30,0.0,3.0
