yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-07-02 00:00:00,22.235,22.581
2013-07-02 00:00:30,22.451,22.43
2013-07-02 00:10:00,22.009,22.281
2013-07-02 00:10:30,22.191,22.13
2013-07-02 00:20:00,21.969,21.981
2013-07-02 00:20:30,21.266,21.83
2013-07-02 00:30:00,21.247,21.681
2013-07-02 00:30:30,21.781,21.53
2013-07-02 00:40:00,20.48,21.38
2013-07-02 00:40:30,18.789,21.23
2013-07-02 00:50:00,17.87,21.08
2013-07-02 00:50:30,18.027,20.93
2013-07-02 01:00:00,17.22,20.78
2013-07-02 01:00:30,17.52,20.72
2013-07-02 01:10:00,18.24,20.65
2013-07-02 01:10:30,18.91,20.58
2013-07-02 01:20:00,19.8,20.52
2013-07-02 01:20:30,19.46,20.45
2013-07-02 01:30:00,19.23,20.39
2013-07-02 01:30:30,19.672,20.33
2013-07-02 01:40:00,18.293,20.26
2013-07-02 01:40:30,16.541,20.2
2013-07-02 01:50:00,17.43,20.13
2013-07-02 01:50:30,15.5,20.06
2013-07-02 02:00:00,16.882,20.0
2013-07-02 02:00:30,20.226,19.92
2013-07-02 02:10:00,20.17,19.846
2013-07-02 02:10:30,20.106,19.77
2013-07-02 02:20:00,19.727,19.692
2013-07-02 02:20:30,18.922,19.62
2013-07-02 02:30:00,19.55,19.538
2013-07-02 02:30:30,19.517,19.46
2013-07-02 02:40:00,19.332,19.383
2013-07-02 02:40:30,18.538,19.31
2013-07-02 02:50:00,19.16,19.229
2013-07-02 02:50:30,17.717,19.15
2013-07-02 03:00:00,18.328,19.075
2013-07-02 03:00:30,18.309,18.93
2013-07-02 03:10:00,18.835,18.794
2013-07-02 03:10:30,18.664,18.65
2013-07-02 03:20:00,18.02,18.514
2013-07-02 03:20:30,18.212,18.37
2013-07-02 03:30:00,17.86,18.233
2013-07-02 03:30:30,18.221,18.09
2013-07-02 03:40:00,17.937,17.952
2013-07-02 03:40:30,17.373,17.81
2013-07-02 03:50:00,17.69,17.672
2013-07-02 03:50:30,16.885,17.53
2013-07-02 04:00:00,17.51,17.391
2013-07-02 04:00:30,17.151,17.32
2013-07-02 04:10:00,16.791,17.242
2013-07-02 04:10:30,17.082,17.17
2013-07-02 04:20:00,16.632,17.093
2013-07-02 04:20:30,17.083,17.02
2013-07-02 04:30:00,15.576,16.944
2013-07-02 04:30:30,16.664,16.87
2013-07-02 04:40:00,15.31,16.795
2013-07-02 04:40:30,13.385,16.72
2013-07-02 04:50:00,13.756,16.646
2013-07-02 04:50:30,13.976,16.57
2013-07-02 05:00:00,13.92,16.497
2013-07-02 05:00:30,14.527,16.5
2013-07-02 05:10:00,13.605,16.501
2013-07-02 05:10:30,13.641,16.5
2013-07-02 05:20:00,14.726,16.506
2013-07-02 05:20:30,13.965,16.51
2013-07-02 05:30:00,12.516,16.51
2013-07-02 05:30:30,13.97,16.51
2013-07-02 05:40:00,15.231,16.514
2013-07-02 05:40:30,16.361,16.52
2013-07-02 05:50:00,15.712,16.519
2013-07-02 05:50:30,15.679,16.52
2013-07-02 06:00:00,15.23,16.523
2013-07-02 06:00:30,15.803,16.45
2013-07-02 06:10:00,16.019,16.382
2013-07-02 06:10:30,15.432,16.31
2013-07-02 06:20:00,14.562,16.242
2013-07-02 06:20:30,14.422,16.17
2013-07-02 06:30:00,13.653,16.101
2013-07-02 06:30:30,13.461,16.03
2013-07-02 06:40:00,12.263,15.96
2013-07-02 06:40:30,13.11,15.89
2013-07-02 06:50:00,12.25,15.82
2013-07-02 06:50:30,12.794,15.75
2013-07-02 07:00:00,12.062,15.679
2013-07-02 07:00:30,12.049,15.37
2013-07-02 07:10:00,13.29,15.065
2013-07-02 07:10:30,12.276,14.76
2013-07-02 07:20:00,12.742,14.451
2013-07-02 07:20:30,11.91,14.14
2013-07-02 07:30:00,11.763,13.837
2013-07-02 07:30:30,11.517,13.53
2013-07-02 07:40:00,10.15,13.223
2013-07-02 07:40:30,9.183,12.92
2013-07-02 07:50:00,10.19,12.609
2013-07-02 07:50:30,11.269,12.3
2013-07-02 08:00:00,11.723,11.995
2013-07-02 08:00:30,11.759,11.85
2013-07-02 08:10:00,10.907,11.711
2013-07-02 08:10:30,11.551,11.57
2013-07-02 08:20:00,11.371,11.428
2013-07-02 08:20:30,9.99,11.29
2013-07-02 08:30:00,10.189,11.145
2013-07-02 08:30:30,10.903,11.0
2013-07-02 08:40:00,10.87,10.861
2013-07-02 08:40:30,9.601,10.72
2013-07-02 08:50:00,9.71,10.578
2013-07-02 08:50:30,9.724,10.44
2013-07-02 09:00:00,10.279,10.294
2013-07-02 09:00:30,9.758,10.2
2013-07-02 09:10:00,10.093,10.116
2013-07-02 09:10:30,9.594,10.03
2013-07-02 09:20:00,9.01,9.938
2013-07-02 09:20:30,9.918,9.85
2013-07-02 09:30:00,9.082,9.759
2013-07-02 09:30:30,9.257,9.67
2013-07-02 09:40:00,9.66,9.581
2013-07-02 09:40:30,9.001,9.49
2013-07-02 09:50:00,9.54,9.403
2013-07-02 09:50:30,9.594,9.31
2013-07-02 10:00:00,9.687,9.225
2013-07-02 10:00:30,9.345,9.24
2013-07-02 10:10:00,9.45,9.253
2013-07-02 10:10:30,9.333,9.27
2013-07-02 10:20:00,9.4,9.28
2013-07-02 10:20:30,9.53,9.29
2013-07-02 10:30:00,9.589,9.308
2013-07-02 10:30:30,9.304,9.32
2013-07-02 10:40:00,8.97,9.336
2013-07-02 10:40:30,8.818,9.35
2013-07-02 10:50:00,9.04,9.363
2013-07-02 10:50:30,8.495,9.38
2013-07-02 11:00:00,8.758,9.391
2013-07-02 11:00:30,8.201,9.53
2013-07-02 11:10:00,8.4,9.667
2013-07-02 11:10:30,8.228,9.8
2013-07-02 11:20:00,9.211,9.943
2013-07-02 11:20:30,9.555,10.08
2013-07-02 11:30:00,9.76,10.22
2013-07-02 11:30:30,9.06,10.36
2013-07-02 11:40:00,9.707,10.496
2013-07-02 11:40:30,9.426,10.63
2013-07-02 11:50:00,10.391,10.772
2013-07-02 11:50:30,9.007,10.91
2013-07-02 12:00:00,8.62,11.048
2013-07-02 12:00:30,7.281,11.2
2013-07-02 12:10:00,8.54,11.348
2013-07-02 12:10:30,8.178,11.5
2013-07-02 12:20:00,9.79,11.647
2013-07-02 12:20:30,9.097,11.8
2013-07-02 12:30:00,8.53,11.947
2013-07-02 12:30:30,8.377,12.1
2013-07-02 12:40:00,9.83,12.246
2013-07-02 12:40:30,8.866,12.4
2013-07-02 12:50:00,9.082,12.546
2013-07-02 12:50:30,9.191,12.7
2013-07-02 13:00:00,8.9,12.845
2013-07-02 13:00:30,11.257,12.78
2013-07-02 13:10:00,10.29,12.706
2013-07-02 13:10:30,9.136,12.64
2013-07-02 13:20:00,8.955,12.566
2013-07-02 13:20:30,8.686,12.5
2013-07-02 13:30:00,10.2,12.427
2013-07-02 13:30:30,10.907,12.36
2013-07-02 13:40:00,10.632,12.288
2013-07-02 13:40:30,10.142,12.22
2013-07-02 13:50:00,9.8,12.148
2013-07-02 13:50:30,9.588,12.08
2013-07-02 14:00:00,9.85,12.009
2013-07-02 14:00:30,8.95,11.85
2013-07-02 14:10:00,9.19,11.694
2013-07-02 14:10:30,9.834,11.54
2013-07-02 14:20:00,8.138,11.38
2013-07-02 14:20:30,7.48,11.22
2013-07-02 14:30:00,8.8,11.065
2013-07-02 14:30:30,7.085,10.91
2013-07-02 14:40:00,7.29,10.75
2013-07-02 14:40:30,8.996,10.59
2013-07-02 14:50:00,8.47,10.436
2013-07-02 14:50:30,6.736,10.28
2013-07-02 15:00:00,5.91,10.121
2013-07-02 15:00:30,0.0,9.96
2013-07-02 15:10:00,1.82,9.799
2013-07-02 15:10:30,1.724,9.64
2013-07-02 15:20:00,0.907,9.476
2013-07-02 15:20:30,5.066,9.32
2013-07-02 15:30:00,4.334,9.154
2013-07-02 15:30:30,4.353,8.99
2013-07-02 15:40:00,4.69,8.831
2013-07-02 15:40:30,0.0,8.67
2013-07-02 15:50:00,3.4,8.508
2013-07-02 15:50:30,3.774,8.35
2013-07-02 16:00:00,0.0,8.186
2013-07-02 16:00:30,0.0,8.09
2013-07-02 16:10:00,0.0,8.003
2013-07-02 16:10:30,0.0,7.91
