yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-01-02 00:00:00,39.874,41.634
2013-01-02 00:00:30,25.327,39.48
2013-01-02 00:10:00,31.051,37.316
2013-01-02 00:10:30,32.346,35.16
2013-01-02 00:20:00,26.28,32.998
2013-01-02 00:20:30,45.936,30.84
2013-01-02 00:30:00,0.0,28.68
2013-01-02 00:30:30,0.0,26.52
2013-01-02 00:40:00,0.0,24.361
2013-01-02 00:40:30,0.0,22.2
2013-01-02 00:50:00,0.0,20.043
2013-01-02 00:50:30,0.0,17.88
2013-01-02 01:00:00,0.0,15.725
2013-01-02 01:00:30,0.0,15.44
2013-01-02 01:10:00,0.0,15.156
2013-01-02 01:10:30,0.0,14.87
2013-01-02 01:20:00,0.0,14.588
2013-01-02 01:20:30,0.0,14.3
2013-01-02 01:30:00,102.35,14.02
2013-01-02 01:30:30,43.41,13.74
2013-01-02 01:40:00,56.06,13.451
2013-01-02 01:40:30,50.58,13.17
2013-01-02 01:50:00,23.408,12.883
2013-01-02 01:50:30,58.187,12.6
2013-01-02 02:00:00,42.004,12.314
2013-01-02 02:00:30,42.498,12.32
2013-01-02 02:10:00,32.604,12.332
2013-01-02 02:10:30,53.702,12.34
2013-01-02 02:20:00,78.095,12.35
2013-01-02 02:20:30,60.89,12.36
2013-01-02 02:30:00,73.008,12.368
2013-01-02 02:30:30,73.608,12.38
2013-01-02 02:40:00,88.774,12.386
2013-01-02 02:40:30,53.716,12.4
2013-01-02 02:50:00,31.715,12.404
2013-01-02 02:50:30,57.162,12.41
2013-01-02 03:00:00,56.307,12.422
2013-01-02 03:00:30,54.932,12.22
2013-01-02 03:10:00,31.602,12.013
2013-01-02 03:10:30,43.088,11.81
2013-01-02 03:20:00,17.71,11.605
2013-01-02 03:20:30,34.355,11.4
2013-01-02 03:30:00,26.033,11.196
2013-01-02 03:30:30,40.896,10.99
2013-01-02 03:40:00,21.965,10.787
2013-01-02 03:40:30,44.647,10.58
2013-01-02 03:50:00,49.957,10.379
2013-01-02 03:50:30,52.443,10.17
2013-01-02 04:00:00,33.138,9.97
2013-01-02 04:00:30,36.674,9.7
2013-01-02 04:10:00,33.55,9.439
2013-01-02 04:10:30,48.962,9.17
2013-01-02 04:20:00,41.572,8.907
2013-01-02 04:20:30,47.217,8.64
2013-01-02 04:30:00,55.43,8.376
2013-01-02 04:30:30,56.136,8.11
2013-01-02 04:40:00,78.15,7.844
2013-01-02 04:40:30,90.084,7.58
2013-01-02 04:50:00,55.99,7.312
2013-01-02 04:50:30,82.492,7.05
2013-01-02 05:00:00,83.242,6.781
2013-01-02 05:00:30,56.35,6.55
2013-01-02 05:10:00,81.153,6.327
2013-01-02 05:10:30,63.108,6.1
2013-01-02 05:20:00,85.262,5.872
2013-01-02 05:20:30,85.232,5.64
2013-01-02 05:30:00,55.861,5.418
2013-01-02 05:30:30,59.264,5.19
2013-01-02 05:40:00,61.56,4.964
2013-01-02 05:40:30,84.254,4.74
2013-01-02 05:50:00,62.66,4.509
2013-01-02 05:50:30,68.72,4.28
2013-01-02 06:00:00,71.85,4.055
2013-01-02 06:00:30,88.64,4.18
2013-01-02 06:10:00,67.33,4.302
2013-01-02 06:10:30,57.232,4.43
2013-01-02 06:20:00,56.021,4.549
2013-01-02 06:20:30,88.969,4.67
2013-01-02 06:30:00,62.07,4.795
2013-01-02 06:30:30,84.505,4.92
2013-01-02 06:40:00,60.883,5.042
2013-01-02 06:40:30,59.952,5.17
2013-01-02 06:50:00,90.758,5.289
2013-01-02 06:50:30,86.559,5.41
2013-01-02 07:00:00,55.59,5.536
2013-01-02 07:00:30,76.266,5.69
2013-01-02 07:10:00,85.08,5.848
2013-01-02 07:10:30,83.118,6.0
2013-01-02 07:20:00,80.585,6.159
2013-01-02 07:20:30,62.849,6.31
2013-01-02 07:30:00,35.7,6.47
2013-01-02 07:30:30,51.683,6.63
2013-01-02 07:40:00,36.63,6.782
2013-01-02 07:40:30,34.582,6.94
2013-01-02 07:50:00,50.431,7.094
2013-01-02 07:50:30,49.718,7.25
2013-01-02 08:00:00,41.41,7.405
2013-01-02 08:00:30,21.595,7.69
2013-01-02 08:10:00,54.88,7.971
2013-01-02 08:10:30,12.431,8.25
2013-01-02 08:20:00,37.78,8.537
2013-01-02 08:20:30,41.757,8.82
2013-01-02 08:30:00,22.12,9.103
2013-01-02 08:30:30,59.641,9.39
2013-01-02 08:40:00,67.271,9.669
2013-01-02 08:40:30,68.8,9.95
2013-01-02 08:50:00,64.386,10.235
2013-01-02 08:50:30,70.465,10.52
2013-01-02 09:00:00,68.209,10.801
2013-01-02 09:00:30,87.845,11.34
2013-01-02 09:10:00,82.524,11.884
2013-01-02 09:10:30,67.784,12.43
2013-01-02 09:20:00,98.977,12.967
2013-01-02 09:20:30,97.267,13.51
2013-01-02 09:30:00,103.5,14.05
2013-01-02 09:30:30,137.28,14.59
2013-01-02 09:40:00,171.712,15.134
2013-01-02 09:40:30,240.986,15.68
2013-01-02 09:50:00,128.083,16.217
2013-01-02 09:50:30,203.877,16.76
2013-01-02 10:00:00,140.3,17.3
2013-01-02 10:00:30,108.371,17.58
2013-01-02 10:10:00,145.584,17.864
2013-01-02 10:10:30,142.184,18.15
2013-01-02 10:20:00,234.473,18.427
2013-01-02 10:20:30,116.709,18.71
2013-01-02 10:30:00,138.491,18.991
2013-01-02 10:30:30,155.296,19.27
2013-01-02 10:40:00,107.56,19.554
2013-01-02 10:40:30,94.322,19.84
2013-01-02 10:50:00,68.606,20.117
2013-01-02 10:50:30,95.111,20.4
2013-01-02 11:00:00,67.82,20.681
2013-01-02 11:00:30,91.101,21.07
2013-01-02 11:10:00,120.9,21.464
2013-01-02 11:10:30,146.928,21.86
2013-01-02 11:20:00,123.16,22.247
2013-01-02 11:20:30,121.95,22.64
2013-01-02 11:30:00,125.16,23.03
2013-01-02 11:30:30,146.778,23.42
2013-01-02 11:40:00,185.053,23.813
2013-01-02 11:40:30,108.213,24.2
2013-01-02 11:50:00,115.54,24.596
2013-01-02 11:50:30,130.789,24.99
2013-01-02 12:00:00,234.655,25.379
2013-01-02 12:00:30,146.352,26.45
2013-01-02 12:10:00,178.67,27.515
2013-01-02 12:10:30,206.285,28.58
2013-01-02 12:20:00,263.293,29.651
2013-01-02 12:20:30,146.941,30.72
2013-01-02 12:30:00,140.37,31.787
2013-01-02 12:30:30,121.57,32.85
