yyyy-mm-dd HH:MM:SS,Actual,Fcst
2013-07-02 00:00:00,86.033,72.700
2013-07-02 00:10:00,86.033,72.211
2013-07-02 00:20:00,86.033,71.721
2013-07-02 00:30:00,86.033,71.232
2013-07-02 00:40:00,86.033,70.743
2013-07-02 00:50:00,86.033,70.253
2013-07-02 01:00:00,86.033,69.764
2013-07-02 01:10:00,86.033,68.833
2013-07-02 01:20:00,86.033,67.902
2013-07-02 01:30:00,86.033,66.971
2013-07-02 01:40:00,86.033,66.040
2013-07-02 01:50:00,86.033,65.109
2013-07-02 02:00:00,86.033,64.178
2013-07-02 02:10:00,86.033,63.165
2013-07-02 02:20:00,86.033,62.153
2013-07-02 02:30:00,86.033,61.141
2013-07-02 02:40:00,86.033,60.128
2013-07-02 02:50:00,86.033,59.115
2013-07-02 03:00:00,86.033,58.103
2013-07-02 03:10:00,86.033,57.661
2013-07-02 03:20:00,86.033,57.219
2013-07-02 03:30:00,86.033,56.777
2013-07-02 03:40:00,86.033,56.335
2013-07-02 03:50:00,86.033,55.893
2013-07-02 04:00:00,86.033,55.451
2013-07-02 04:10:00,85.966,55.023
2013-07-02 04:20:00,77.327,54.594
2013-07-02 04:30:00,68.754,54.166
2013-07-02 04:40:00,68.754,53.738
2013-07-02 04:50:00,68.754,53.309
2013-07-02 05:00:00,68.754,52.881
2013-07-02 05:10:00,68.754,52.584
2013-07-02 05:20:00,68.754,52.286
2013-07-02 05:30:00,68.754,51.989
2013-07-02 05:40:00,68.754,51.692
2013-07-02 05:50:00,68.754,51.394
2013-07-02 06:00:00,68.754,51.097
2013-07-02 06:10:00,68.754,50.574
2013-07-02 06:20:00,68.754,50.052
2013-07-02 06:30:00,68.754,49.529
2013-07-02 06:40:00,68.754,49.006
2013-07-02 06:50:00,68.754,48.484
2013-07-02 07:00:00,68.754,47.961
2013-07-02 07:10:00,61.471,45.939
2013-07-02 07:20:00,60.707,43.918
2013-07-02 07:30:00,60.662,41.897
2013-07-02 07:40:00,61.753,39.875
2013-07-02 07:50:00,66.055,37.853
2013-07-02 08:00:00,63.925,35.832
2013-07-02 08:10:00,62.696,34.999
2013-07-02 08:20:00,61.229,34.167
2013-07-02 08:30:00,59.748,33.334
2013-07-02 08:40:00,59.744,32.502
2013-07-02 08:50:00,59.744,31.669
2013-07-02 09:00:00,59.744,30.837
2013-07-02 09:10:00,59.744,30.384
2013-07-02 09:20:00,59.744,29.932
2013-07-02 09:30:00,59.744,29.479
2013-07-02 09:40:00,59.744,29.026
2013-07-02 09:50:00,59.744,28.574
2013-07-02 10:00:00,59.744,28.121
2013-07-02 10:10:00,59.744,28.240
2013-07-02 10:20:00,59.744,28.359
2013-07-02 10:30:00,59.744,28.478
2013-07-02 10:40:00,59.744,28.597
2013-07-02 10:50:00,59.744,28.716
2013-07-02 11:00:00,59.744,28.835
2013-07-02 11:10:00,59.744,29.410
2013-07-02 11:20:00,59.744,29.986
2013-07-02 11:30:00,59.744,30.561
2013-07-02 11:40:00,59.744,31.137
2013-07-02 11:50:00,59.744,31.712
2013-07-02 12:00:00,59.744,32.288
2013-07-02 12:10:00,59.744,32.681
2013-07-02 12:20:00,59.744,33.075
2013-07-02 12:30:00,59.744,33.468
2013-07-02 12:40:00,59.744,33.862
2013-07-02 12:50:00,59.744,34.255
2013-07-02 13:00:00,59.744,34.649
2013-07-02 13:10:00,62.493,34.624
2013-07-02 13:20:00,62.332,34.600
2013-07-02 13:30:00,58.775,34.575
2013-07-02 13:40:00,60.553,34.550
2013-07-02 13:50:00,61.961,34.526
2013-07-02 14:00:00,61.189,34.501
2013-07-02 14:10:00,60.186,35.431
2013-07-02 14:20:00,61.400,36.361
2013-07-02 14:30:00,63.788,37.290
2013-07-02 14:40:00,76.154,38.220
2013-07-02 14:50:00,78.829,39.150
2013-07-02 15:00:00,78.367,40.080
2013-07-02 15:10:00,71.051,39.675
2013-07-02 15:20:00,73.482,39.271
2013-07-02 15:30:00,67.995,38.866
2013-07-02 15:40:00,61.726,38.461
2013-07-02 15:50:00,61.846,38.057
2013-07-02 16:00:00,59.571,37.652
2013-07-02 16:10:00,48.161,36.030
2013-07-02 16:20:00,49.787,34.408
2013-07-02 16:30:00,51.034,32.785
