yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-04-02 00:00:00,82.109,56.455
2013-04-02 00:00:30,85.77,56.04
2013-04-02 00:10:00,89.433,55.617
2013-04-02 00:10:30,92.68,55.2
2013-04-02 00:20:00,95.922,54.779
2013-04-02 00:20:30,95.65,54.36
2013-04-02 00:30:00,95.378,53.941
2013-04-02 00:30:30,97.99,53.52
2013-04-02 00:40:00,100.595,53.103
2013-04-02 00:40:30,101.29,52.68
2013-04-02 00:50:00,101.982,52.265
2013-04-02 00:50:30,100.13,51.85
2013-04-02 01:00:00,98.284,51.427
2013-04-02 01:00:30,97.45,50.92
2013-04-02 01:10:00,96.613,50.419
2013-04-02 01:10:30,96.33,49.92
2013-04-02 01:20:00,96.055,49.412
2013-04-02 01:20:30,96.58,48.91
2013-04-02 01:30:00,97.106,48.404
2013-04-02 01:30:30,95.06,47.9
2013-04-02 01:40:00,93.01,47.397
2013-04-02 01:40:30,88.8,46.89
2013-04-02 01:50:00,84.592,46.389
2013-04-02 01:50:30,81.67,45.89
2013-04-02 02:00:00,78.74,45.382
2013-04-02 02:00:30,73.93,44.91
2013-04-02 02:10:00,69.127,44.441
2013-04-02 02:10:30,64.36,43.97
2013-04-02 02:20:00,59.593,43.501
2013-04-02 02:20:30,58.32,43.03
2013-04-02 02:30:00,57.056,42.56
2013-04-02 02:30:30,56.29,42.09
2013-04-02 02:40:00,55.523,41.619
2013-04-02 02:40:30,56.06,41.15
2013-04-02 02:50:00,56.598,40.679
2013-04-02 02:50:30,59.97,40.21
2013-04-02 03:00:00,63.338,39.738
2013-04-02 03:00:30,65.36,39.33
2013-04-02 03:10:00,67.381,38.914
2013-04-02 03:10:30,65.26,38.5
2013-04-02 03:20:00,63.134,38.09
2013-04-02 03:20:30,60.09,37.68
2013-04-02 03:30:00,57.049,37.266
2013-04-02 03:30:30,54.4,36.85
2013-04-02 03:40:00,51.755,36.441
2013-04-02 03:40:30,50.63,36.03
2013-04-02 03:50:00,49.502,35.617
2013-04-02 03:50:30,49.7,35.2
2013-04-02 04:00:00,49.891,34.793
2013-04-02 04:00:30,49.58,34.39
2013-04-02 04:10:00,49.279,33.996
2013-04-02 04:10:30,50.15,33.6
2013-04-02 04:20:00,51.024,33.199
2013-04-02 04:20:30,49.79,32.8
2013-04-02 04:30:00,48.556,32.403
2013-04-02 04:30:30,42.16,32.0
2013-04-02 04:40:00,35.754,31.606
2013-04-02 04:40:30,31.62,31.21
2013-04-02 04:50:00,27.486,30.809
2013-04-02 04:50:30,28.06,30.41
2013-04-02 05:00:00,28.641,30.012
2013-04-02 05:00:30,28.25,29.59
2013-04-02 05:10:00,27.858,29.17
2013-04-02 05:10:30,26.31,28.75
2013-04-02 05:20:00,24.759,28.327
2013-04-02 05:20:30,24.77,27.91
2013-04-02 05:30:00,24.786,27.485
2013-04-02 05:30:30,25.44,27.06
2013-04-02 05:40:00,26.099,26.643
2013-04-02 05:40:30,25.9,26.22
2013-04-02 05:50:00,25.709,25.8
2013-04-02 05:50:30,25.03,25.38
2013-04-02 06:00:00,24.351,24.958
2013-04-02 06:00:30,24.35,24.53
2013-04-02 06:10:00,24.343,24.104
2013-04-02 06:10:30,24.04,23.68
2013-04-02 06:20:00,23.727,23.25
2013-04-02 06:20:30,22.15,22.82
2013-04-02 06:30:00,20.577,22.396
2013-04-02 06:30:30,19.36,21.97
2013-04-02 06:40:00,18.151,21.543
2013-04-02 06:40:30,17.29,21.12
2013-04-02 06:50:00,16.426,20.689
2013-04-02 06:50:30,15.83,20.26
2013-04-02 07:00:00,15.229,19.835
2013-04-02 07:00:30,15.23,19.23
2013-04-02 07:10:00,15.239,18.623
2013-04-02 07:10:30,15.41,18.02
2013-04-02 07:20:00,15.579,17.412
2013-04-02 07:20:30,16.01,16.81
2013-04-02 07:30:00,16.436,16.2
2013-04-02 07:30:30,17.24,15.59
2013-04-02 07:40:00,18.044,14.988
2013-04-02 07:40:30,18.79,14.38
2013-04-02 07:50:00,19.54,13.777
2013-04-02 07:50:30,20.46,13.17
2013-04-02 08:00:00,21.374,12.565
2013-04-02 08:00:30,20.98,12.0
2013-04-02 08:10:00,20.592,11.431
2013-04-02 08:10:30,19.58,10.86
2013-04-02 08:20:00,18.574,10.297
2013-04-02 08:20:30,18.62,9.73
2013-04-02 08:30:00,18.664,9.162
2013-04-02 08:30:30,18.96,8.6
2013-04-02 08:40:00,19.251,8.028
2013-04-02 08:40:30,18.55,7.46
2013-04-02 08:50:00,17.841,6.894
2013-04-02 08:50:30,15.27,6.33
2013-04-02 09:00:00,12.702,5.76
2013-04-02 09:00:30,10.49,5.58
2013-04-02 09:10:00,8.282,5.408
2013-04-02 09:10:30,7.39,5.23
2013-04-02 09:20:00,6.495,5.056
2013-04-02 09:20:30,6.46,4.88
2013-04-02 09:30:00,6.417,4.704
2013-04-02 09:30:30,6.49,4.53
2013-04-02 09:40:00,6.567,4.352
2013-04-02 09:40:30,6.25,4.18
2013-04-02 09:50:00,5.942,4.0
2013-04-02 09:50:30,5.17,3.82
2013-04-02 10:00:00,4.402,3.648
2013-04-02 10:00:30,3.72,4.02
2013-04-02 10:10:00,3.03,4.4
2013-04-02 10:10:30,2.31,4.78
2013-04-02 10:20:00,1.584,5.152
2013-04-02 10:20:30,0.96,5.53
2013-04-02 10:30:00,0.333,5.904
2013-04-02 10:30:30,0.17,6.28
2013-04-02 10:40:00,0.0,6.655
2013-04-02 10:40:30,0.0,7.03
2013-04-02 10:50:00,0.0,7.407
2013-04-02 10:50:30,0.0,7.78
2013-04-02 11:00:00,0.0,8.159
2013-04-02 11:00:30,0.0,9.07
2013-04-02 11:10:00,0.0,9.979
2013-04-02 11:10:30,0.0,10.89
2013-04-02 11:20:00,0.01,11.799
2013-04-02 11:20:30,0.53,12.71
2013-04-02 11:30:00,1.041,13.619
2013-04-02 11:30:30,1.34,14.53
2013-04-02 11:40:00,1.629,15.439
2013-04-02 11:40:30,2.07,16.35
2013-04-02 11:50:00,2.502,17.259
2013-04-02 11:50:30,3.08,18.17
2013-04-02 12:00:00,3.657,19.079
2013-04-02 12:00:30,4.53,20.16
2013-04-02 12:10:00,5.396,21.234
2013-04-02 12:10:30,6.86,22.31
2013-04-02 12:20:00,8.334,23.388
2013-04-02 12:20:30,8.59,24.47
2013-04-02 12:30:00,8.847,25.543
2013-04-02 12:30:30,9.97,26.62
2013-04-02 12:40:00,11.095,27.698
2013-04-02 12:40:30,11.32,28.78
2013-04-02 12:50:00,11.553,29.852
2013-04-02 12:50:30,11.94,30.93
2013-04-02 13:00:00,12.322,32.007
2013-04-02 13:00:30,12.97,33.09
2013-04-02 13:10:00,13.621,34.169
2013-04-02 13:10:30,14.43,35.25
2013-04-02 13:20:00,15.243,36.33
2013-04-02 13:20:30,15.89,37.41
2013-04-02 13:30:00,16.545,38.492
2013-04-02 13:30:30,17.25,39.57
