yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-01-02 00:00:00,7.904,4.537
2013-01-02 00:00:30,8.4,4.61
2013-01-02 00:10:00,8.892,4.678
2013-01-02 00:10:30,9.05,4.75
2013-01-02 00:20:00,9.214,4.82
2013-01-02 00:20:30,9.6,4.89
2013-01-02 00:30:00,9.989,4.962
2013-01-02 00:30:30,10.58,5.03
2013-01-02 00:40:00,11.167,5.103
2013-01-02 00:40:30,10.19,5.17
2013-01-02 00:50:00,9.219,5.245
2013-01-02 00:50:30,7.87,5.32
2013-01-02 01:00:00,6.527,5.386
2013-01-02 01:00:30,6.42,5.43
2013-01-02 01:10:00,6.322,5.474
2013-01-02 01:10:30,5.98,5.52
2013-01-02 01:20:00,5.646,5.561
2013-01-02 01:20:30,5.11,5.6
2013-01-02 01:30:00,4.582,5.649
2013-01-02 01:30:30,4.37,5.69
2013-01-02 01:40:00,4.16,5.737
2013-01-02 01:40:30,4.51,5.78
2013-01-02 01:50:00,4.867,5.824
2013-01-02 01:50:30,5.24,5.87
2013-01-02 02:00:00,5.623,5.912
2013-01-02 02:00:30,6.08,5.98
2013-01-02 02:10:00,6.536,6.043
2013-01-02 02:10:30,6.51,6.11
2013-01-02 02:20:00,6.485,6.174
2013-01-02 02:20:30,6.55,6.24
2013-01-02 02:30:00,6.619,6.306
2013-01-02 02:30:30,6.89,6.37
2013-01-02 02:40:00,7.162,6.437
2013-01-02 02:40:30,6.97,6.5
2013-01-02 02:50:00,6.784,6.568
2013-01-02 02:50:30,6.4,6.63
2013-01-02 03:00:00,6.014,6.699
2013-01-02 03:00:30,6.16,6.72
2013-01-02 03:10:00,6.304,6.742
2013-01-02 03:10:30,6.54,6.76
2013-01-02 03:20:00,6.775,6.785
2013-01-02 03:20:30,6.41,6.81
2013-01-02 03:30:00,6.053,6.829
2013-01-02 03:30:30,5.87,6.85
2013-01-02 03:40:00,5.687,6.872
2013-01-02 03:40:30,6.1,6.89
2013-01-02 03:50:00,6.504,6.915
2013-01-02 03:50:30,6.86,6.94
2013-01-02 04:00:00,7.22,6.958
2013-01-02 04:00:30,6.78,6.89
2013-01-02 04:10:00,6.346,6.816
2013-01-02 04:10:30,6.18,6.75
2013-01-02 04:20:00,6.005,6.675
2013-01-02 04:20:30,5.54,6.6
2013-01-02 04:30:00,5.083,6.533
2013-01-02 04:30:30,4.54,6.46
2013-01-02 04:40:00,3.992,6.391
2013-01-02 04:40:30,3.45,6.32
2013-01-02 04:50:00,2.906,6.25
2013-01-02 04:50:30,2.25,6.18
2013-01-02 05:00:00,1.593,6.108
2013-01-02 05:00:30,1.55,6.1
2013-01-02 05:10:00,1.506,6.089
2013-01-02 05:10:30,1.73,6.08
2013-01-02 05:20:00,1.953,6.07
2013-01-02 05:20:30,2.14,6.06
2013-01-02 05:30:00,2.323,6.051
2013-01-02 05:30:30,2.36,6.04
2013-01-02 05:40:00,2.388,6.032
2013-01-02 05:40:30,2.65,6.02
2013-01-02 05:50:00,2.91,6.013
2013-01-02 05:50:30,3.13,6.0
2013-01-02 06:00:00,3.345,5.994
2013-01-02 06:00:30,3.51,6.12
2013-01-02 06:10:00,3.667,6.247
2013-01-02 06:10:30,3.74,6.37
2013-01-02 06:20:00,3.806,6.499
2013-01-02 06:20:30,3.87,6.63
2013-01-02 06:30:00,3.941,6.752
2013-01-02 06:30:30,3.43,6.88
2013-01-02 06:40:00,2.913,7.004
2013-01-02 06:40:30,2.95,7.13
2013-01-02 06:50:00,2.989,7.257
2013-01-02 06:50:30,3.59,7.38
2013-01-02 07:00:00,4.193,7.509
2013-01-02 07:00:30,4.23,7.69
2013-01-02 07:10:00,4.265,7.872
2013-01-02 07:10:30,4.63,8.05
2013-01-02 07:20:00,4.998,8.234
2013-01-02 07:20:30,5.59,8.42
2013-01-02 07:30:00,6.183,8.597
2013-01-02 07:30:30,6.57,8.78
2013-01-02 07:40:00,6.953,8.96
2013-01-02 07:40:30,7.05,9.14
2013-01-02 07:50:00,7.146,9.322
2013-01-02 07:50:30,6.92,9.5
2013-01-02 08:00:00,6.691,9.685
2013-01-02 08:00:30,7.31,9.97
2013-01-02 08:10:00,7.921,10.252
2013-01-02 08:10:30,8.15,10.54
2013-01-02 08:20:00,8.375,10.818
2013-01-02 08:20:30,8.82,11.1
2013-01-02 08:30:00,9.275,11.384
2013-01-02 08:30:30,9.06,11.67
2013-01-02 08:40:00,8.849,11.951
2013-01-02 08:40:30,8.92,12.23
2013-01-02 08:50:00,8.988,12.518
2013-01-02 08:50:30,9.22,12.8
2013-01-02 09:00:00,9.458,13.084
2013-01-02 09:00:30,8.91,12.94
2013-01-02 09:10:00,8.37,12.788
2013-01-02 09:10:30,7.95,12.64
2013-01-02 09:20:00,7.535,12.493
2013-01-02 09:20:30,6.75,12.34
2013-01-02 09:30:00,5.973,12.197
2013-01-02 09:30:30,5.85,12.05
2013-01-02 09:40:00,5.734,11.901
2013-01-02 09:40:30,5.31,11.75
2013-01-02 09:50:00,4.885,11.606
2013-01-02 09:50:30,5.29,11.46
2013-01-02 10:00:00,5.696,11.31
2013-01-02 10:00:30,5.92,11.14
2013-01-02 10:10:00,6.143,10.978
2013-01-02 10:10:30,5.75,10.81
2013-01-02 10:20:00,5.36,10.646
2013-01-02 10:20:30,4.94,10.48
2013-01-02 10:30:00,4.529,10.315
2013-01-02 10:30:30,4.67,10.15
2013-01-02 10:40:00,4.805,9.983
2013-01-02 10:40:30,5.34,9.82
2013-01-02 10:50:00,5.88,9.651
2013-01-02 10:50:30,6.24,9.48
2013-01-02 11:00:00,6.597,9.319
2013-01-02 11:00:30,6.87,9.32
2013-01-02 11:10:00,7.136,9.328
2013-01-02 11:10:30,7.98,9.33
2013-01-02 11:20:00,8.831,9.337
2013-01-02 11:20:30,9.41,9.34
2013-01-02 11:30:00,9.994,9.347
2013-01-02 11:30:30,10.51,9.35
2013-01-02 11:40:00,11.024,9.356
2013-01-02 11:40:30,11.41,9.36
2013-01-02 11:50:00,11.794,9.365
2013-01-02 11:50:30,11.13,9.37
2013-01-02 12:00:00,10.463,9.374
2013-01-02 12:00:30,10.54,9.41
2013-01-02 12:10:00,10.609,9.45
2013-01-02 12:10:30,10.87,9.49
2013-01-02 12:20:00,11.123,9.525
2013-01-02 12:20:30,11.82,9.56
2013-01-02 12:30:00,12.525,9.601
2013-01-02 12:30:30,12.48,9.64
2013-01-02 12:40:00,12.444,9.676
2013-01-02 12:40:30,13.6,9.71
2013-01-02 12:50:00,14.754,9.752
2013-01-02 12:50:30,14.12,9.79
2013-01-02 13:00:00,13.496,9.827
2013-01-02 13:00:30,14.33,9.89
2013-01-02 13:10:00,15.169,9.951
2013-01-02 13:10:30,15.19,10.01
2013-01-02 13:20:00,15.215,10.075
2013-01-02 13:20:30,15.55,10.14
2013-01-02 13:30:00,15.881,10.198
2013-01-02 13:30:30,15.54,10.26
2013-01-02 13:40:00,15.189,10.322
2013-01-02 13:40:30,16.41,10.38
2013-01-02 13:50:00,17.635,10.446
2013-01-02 13:50:30,18.36,10.51
2013-01-02 14:00:00,19.075,10.57
2013-01-02 14:00:30,18.98,10.68
2013-01-02 14:10:00,18.894,10.787
