yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-07-02 00:00:00,208.236,211.92
2013-07-02 00:00:30,214.42,212.4
2013-07-02 00:10:00,220.594,212.876
2013-07-02 00:10:30,232.18,213.35
2013-07-02 00:20:00,243.775,213.831
2013-07-02 00:20:30,249.44,214.31
2013-07-02 00:30:00,255.108,214.787
2013-07-02 00:30:30,250.44,215.26
2013-07-02 00:40:00,245.775,215.743
2013-07-02 00:40:30,251.05,216.22
2013-07-02 00:50:00,256.329,216.698
2013-07-02 00:50:30,261.64,217.18
2013-07-02 01:00:00,266.948,217.654
2013-07-02 01:00:30,265.8,219.39
2013-07-02 01:10:00,264.651,221.119
2013-07-02 01:10:30,267.73,222.85
2013-07-02 01:20:00,270.811,224.583
2013-07-02 01:20:30,268.64,226.32
2013-07-02 01:30:00,266.466,228.048
2013-07-02 01:30:30,255.57,229.78
2013-07-02 01:40:00,244.665,231.513
2013-07-02 01:40:30,227.58,233.24
2013-07-02 01:50:00,210.494,234.977
2013-07-02 01:50:30,197.56,236.71
2013-07-02 02:00:00,184.622,238.442
2013-07-02 02:00:30,181.98,237.68
2013-07-02 02:10:00,179.342,236.909
2013-07-02 02:10:30,182.04,236.14
2013-07-02 02:20:00,184.748,235.377
2013-07-02 02:20:30,188.74,234.61
2013-07-02 02:30:00,192.732,233.844
2013-07-02 02:30:30,193.31,233.08
2013-07-02 02:40:00,193.887,232.311
2013-07-02 02:40:30,192.41,231.54
2013-07-02 02:50:00,190.932,230.779
2013-07-02 02:50:30,185.83,230.01
2013-07-02 03:00:00,180.733,229.246
2013-07-02 03:00:30,174.22,229.29
2013-07-02 03:10:00,167.705,229.334
2013-07-02 03:10:30,164.81,229.38
2013-07-02 03:20:00,161.922,229.421
2013-07-02 03:20:30,157.81,229.46
2013-07-02 03:30:00,153.694,229.508
2013-07-02 03:30:30,147.89,229.55
2013-07-02 03:40:00,142.086,229.596
2013-07-02 03:40:30,137.82,229.64
2013-07-02 03:50:00,133.561,229.683
2013-07-02 03:50:30,131.81,229.73
2013-07-02 04:00:00,130.064,229.771
2013-07-02 04:00:30,130.82,229.21
2013-07-02 04:10:00,131.582,228.64
2013-07-02 04:10:30,133.46,228.07
2013-07-02 04:20:00,135.329,227.509
2013-07-02 04:20:30,136.92,226.94
2013-07-02 04:30:00,138.515,226.378
2013-07-02 04:30:30,139.38,225.81
2013-07-02 04:40:00,140.24,225.248
2013-07-02 04:40:30,140.14,224.68
2013-07-02 04:50:00,140.04,224.117
2013-07-02 04:50:30,140.93,223.55
2013-07-02 05:00:00,141.81,222.986
2013-07-02 05:00:30,140.48,221.52
2013-07-02 05:10:00,139.15,220.054
2013-07-02 05:10:30,133.44,218.59
2013-07-02 05:20:00,127.738,217.122
2013-07-02 05:20:30,117.51,215.66
2013-07-02 05:30:00,107.273,214.19
2013-07-02 05:30:30,101.82,212.72
2013-07-02 05:40:00,96.377,211.258
2013-07-02 05:40:30,95.56,209.79
2013-07-02 05:50:00,94.746,208.326
2013-07-02 05:50:30,98.94,206.86
2013-07-02 06:00:00,103.142,205.394
2013-07-02 06:00:30,112.4,201.88
2013-07-02 06:10:00,121.658,198.363
2013-07-02 06:10:30,128.94,194.85
2013-07-02 06:20:00,136.228,191.332
2013-07-02 06:20:30,136.56,187.82
2013-07-02 06:30:00,136.889,184.302
2013-07-02 06:30:30,137.44,180.79
2013-07-02 06:40:00,137.998,177.271
2013-07-02 06:40:30,138.17,173.76
2013-07-02 06:50:00,138.34,170.24
2013-07-02 06:50:30,139.59,166.72
2013-07-02 07:00:00,140.838,163.209
2013-07-02 07:00:30,140.84,161.19
2013-07-02 07:10:00,140.838,159.177
2013-07-02 07:10:30,133.61,157.16
2013-07-02 07:20:00,126.391,155.145
2013-07-02 07:20:30,124.67,153.13
2013-07-02 07:30:00,122.951,151.113
2013-07-02 07:30:30,124.82,149.1
2013-07-02 07:40:00,126.679,147.08
2013-07-02 07:40:30,124.17,145.06
2013-07-02 07:50:00,121.664,143.048
2013-07-02 07:50:30,112.52,141.03
2013-07-02 08:00:00,103.375,139.016
2013-07-02 08:00:30,97.36,138.61
2013-07-02 08:10:00,91.35,138.203
2013-07-02 08:10:30,89.35,137.8
2013-07-02 08:20:00,87.353,137.39
2013-07-02 08:20:30,96.05,136.98
2013-07-02 08:30:00,104.755,136.577
2013-07-02 08:30:30,125.97,136.17
2013-07-02 08:40:00,147.193,135.763
2013-07-02 08:40:30,158.78,135.36
2013-07-02 08:50:00,170.368,134.95
2013-07-02 08:50:30,170.48,134.54
2013-07-02 09:00:00,170.597,134.137
2013-07-02 09:00:30,170.48,134.99
2013-07-02 09:10:00,170.371,135.846
2013-07-02 09:10:30,175.44,136.7
2013-07-02 09:20:00,180.499,137.554
2013-07-02 09:20:30,180.46,138.41
2013-07-02 09:30:00,180.414,139.262
2013-07-02 09:30:30,173.65,140.12
2013-07-02 09:40:00,166.877,140.971
2013-07-02 09:40:30,162.88,141.83
2013-07-02 09:50:00,158.881,142.68
2013-07-02 09:50:30,157.1,143.53
2013-07-02 10:00:00,155.31,144.388
2013-07-02 10:00:30,154.49,144.59
2013-07-02 10:10:00,153.664,144.79
2013-07-02 10:10:30,150.47,144.99
2013-07-02 10:20:00,147.271,145.193
2013-07-02 10:20:30,144.28,145.39
2013-07-02 10:30:00,141.288,145.595
2013-07-02 10:30:30,122.72,145.8
2013-07-02 10:40:00,104.16,145.997
2013-07-02 10:40:30,119.32,146.2
2013-07-02 10:50:00,134.483,146.4
2013-07-02 10:50:30,133.07,146.6
2013-07-02 11:00:00,131.651,146.802
2013-07-02 11:00:30,132.46,146.23
2013-07-02 11:10:00,133.276,145.662
2013-07-02 11:10:30,133.13,145.09
2013-07-02 11:20:00,132.989,144.521
2013-07-02 11:20:30,132.65,143.95
2013-07-02 11:30:00,132.303,143.381
2013-07-02 11:30:30,126.8,142.81
2013-07-02 11:40:00,121.304,142.241
2013-07-02 11:40:30,112.37,141.67
2013-07-02 11:50:00,103.439,141.1
2013-07-02 11:50:30,95.88,140.53
2013-07-02 12:00:00,88.331,139.96
2013-07-02 12:00:30,80.99,139.66
2013-07-02 12:10:00,73.642,139.362
2013-07-02 12:10:30,70.13,139.06
2013-07-02 12:20:00,66.614,138.765
2013-07-02 12:20:30,64.52,138.47
2013-07-02 12:30:00,62.424,138.167
2013-07-02 12:30:30,61.72,137.87
2013-07-02 12:40:00,61.015,137.569
2013-07-02 12:40:30,58.62,137.27
2013-07-02 12:50:00,56.227,136.972
2013-07-02 12:50:30,54.36,136.67
2013-07-02 13:00:00,52.493,136.374
2013-07-02 13:00:30,53.45,136.55
2013-07-02 13:10:00,54.4,136.731
2013-07-02 13:10:30,56.67,136.91
2013-07-02 13:20:00,58.931,137.087
2013-07-02 13:20:30,63.38,137.27
2013-07-02 13:30:00,67.821,137.444
2013-07-02 13:30:30,68.35,137.62
2013-07-02 13:40:00,68.884,137.801
2013-07-02 13:40:30,67.98,137.98
2013-07-02 13:50:00,67.079,138.157
2013-07-02 13:50:30,64.7,138.34
2013-07-02 14:00:00,62.313,138.514
2013-07-02 14:00:30,59.37,138.47
2013-07-02 14:10:00,56.418,138.429
2013-07-02 14:10:30,52.58,138.39
2013-07-02 14:20:00,48.747,138.344
2013-07-02 14:20:30,43.66,138.3
2013-07-02 14:30:00,38.573,138.258
2013-07-02 14:30:30,36.36,138.22
2013-07-02 14:40:00,34.157,138.173
2013-07-02 14:40:30,34.28,138.13
2013-07-02 14:50:00,34.408,138.088
2013-07-02 14:50:30,35.26,138.05
2013-07-02 15:00:00,36.119,138.003
2013-07-02 15:00:30,38.88,137.44
2013-07-02 15:10:00,41.647,136.886
2013-07-02 15:10:30,47.32,136.33
2013-07-02 15:20:00,52.992,135.77
2013-07-02 15:20:30,61.32,135.21
2013-07-02 15:30:00,69.646,134.654
2013-07-02 15:30:30,77.94,134.1
2013-07-02 15:40:00,86.225,133.537
2013-07-02 15:40:30,92.52,132.98
2013-07-02 15:50:00,98.806,132.421
2013-07-02 15:50:30,95.56,131.86
2013-07-02 16:00:00,92.312,131.304
2013-07-02 16:00:30,83.49,130.9
2013-07-02 16:10:00,74.662,130.488
2013-07-02 16:10:30,67.75,130.08
2013-07-02 16:20:00,60.831,129.672
2013-07-02 16:20:30,61.44,129.26
2013-07-02 16:30:00,62.04,128.856
2013-07-02 16:30:30,59.94,128.45
2013-07-02 16:40:00,57.836,128.04
2013-07-02 16:40:30,53.62,127.63
