yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-04-02 00:00:00,23.255,56.455
2013-04-02 00:00:30,58.45,56.04
2013-04-02 00:10:00,7.127,55.617
2013-04-02 00:10:30,92.52,55.2
2013-04-02 00:20:00,0.0,54.779
2013-04-02 00:20:30,53.761,54.36
2013-04-02 00:30:00,55.658,53.941
2013-04-02 00:30:30,59.485,53.52
2013-04-02 00:40:00,50.254,53.103
2013-04-02 00:40:30,0.0,52.68
2013-04-02 00:50:00,51.725,52.265
2013-04-02 00:50:30,17.94,51.85
2013-04-02 01:00:00,96.108,51.427
2013-04-02 01:00:30,48.89,50.92
2013-04-02 01:10:00,73.809,50.419
2013-04-02 01:10:30,40.09,49.92
2013-04-02 01:20:00,93.982,49.412
2013-04-02 01:20:30,0.0,48.91
2013-04-02 01:30:00,0.0,48.404
2013-04-02 01:30:30,123.039,47.9
2013-04-02 01:40:00,62.757,47.397
2013-04-02 01:40:30,0.0,46.89
2013-04-02 01:50:00,38.667,46.389
2013-04-02 01:50:30,37.163,45.89
2013-04-02 02:00:00,0.0,45.382
2013-04-02 02:00:30,87.34,44.91
2013-04-02 02:10:00,22.457,44.441
2013-04-02 02:10:30,27.476,43.97
2013-04-02 02:20:00,58.565,43.501
2013-04-02 02:20:30,103.89,43.03
2013-04-02 02:30:00,19.408,42.56
2013-04-02 02:30:30,4.47,42.09
2013-04-02 02:40:00,39.88,41.619
2013-04-02 02:40:30,44.202,41.15
2013-04-02 02:50:00,48.406,40.679
2013-04-02 02:50:30,19.745,40.21
2013-04-02 03:00:00,41.391,39.738
2013-04-02 03:00:30,2.144,39.33
2013-04-02 03:10:00,44.954,38.914
2013-04-02 03:10:30,85.41,38.5
2013-04-02 03:20:00,37.816,38.09
2013-04-02 03:20:30,35.98,37.68
2013-04-02 03:30:00,0.0,37.266
2013-04-02 03:30:30,45.507,36.85
2013-04-02 03:40:00,73.82,36.441
2013-04-02 03:40:30,11.7,36.03
2013-04-02 03:50:00,0.0,35.617
2013-04-02 03:50:30,9.923,35.2
2013-04-02 04:00:00,18.713,34.793
2013-04-02 04:00:30,54.12,34.39
2013-04-02 04:10:00,27.426,33.996
2013-04-02 04:10:30,0.0,33.6
2013-04-02 04:20:00,61.846,33.199
2013-04-02 04:20:30,62.41,32.8
2013-04-02 04:30:00,49.203,32.403
2013-04-02 04:30:30,0.0,32.0
2013-04-02 04:40:00,12.714,31.606
2013-04-02 04:40:30,34.362,31.21
2013-04-02 04:50:00,30.556,30.809
2013-04-02 04:50:30,3.77,30.41
2013-04-02 05:00:00,21.728,30.012
2013-04-02 05:00:30,45.85,29.59
2013-04-02 05:10:00,0.0,29.17
2013-04-02 05:10:30,56.852,28.75
2013-04-02 05:20:00,98.015,28.327
2013-04-02 05:20:30,39.8,27.91
2013-04-02 05:30:00,0.0,27.485
2013-04-02 05:30:30,0.0,27.06
2013-04-02 05:40:00,0.0,26.643
2013-04-02 05:40:30,34.379,26.22
2013-04-02 05:50:00,34.328,25.8
2013-04-02 05:50:30,0.0,25.38
2013-04-02 06:00:00,9.068,24.958
2013-04-02 06:00:30,17.123,24.53
2013-04-02 06:10:00,24.784,24.104
2013-04-02 06:10:30,63.538,23.68
2013-04-02 06:20:00,0.0,23.25
2013-04-02 06:20:30,0.0,22.82
2013-04-02 06:30:00,40.496,22.396
2013-04-02 06:30:30,0.0,21.97
2013-04-02 06:40:00,0.0,21.543
2013-04-02 06:40:30,0.0,21.12
2013-04-02 06:50:00,0.0,20.689
2013-04-02 06:50:30,37.493,20.26
2013-04-02 07:00:00,45.965,19.835
2013-04-02 07:00:30,3.893,19.23
2013-04-02 07:10:00,0.0,18.623
2013-04-02 07:10:30,34.24,18.02
2013-04-02 07:20:00,30.559,17.412
2013-04-02 07:20:30,0.0,16.81
2013-04-02 07:30:00,0.0,16.2
2013-04-02 07:30:30,0.0,15.59
2013-04-02 07:40:00,14.185,14.988
2013-04-02 07:40:30,0.0,14.38
2013-04-02 07:50:00,0.0,13.777
2013-04-02 07:50:30,37.88,13.17
2013-04-02 08:00:00,0.0,12.565
2013-04-02 08:00:30,0.0,12.0
2013-04-02 08:10:00,0.0,11.431
2013-04-02 08:10:30,0.0,10.86
2013-04-02 08:20:00,0.0,10.297
2013-04-02 08:20:30,31.65,9.73
2013-04-02 08:30:00,18.664,9.162
2013-04-02 08:30:30,0.0,8.6
2013-04-02 08:40:00,27.249,8.028
2013-04-02 08:40:30,0.0,7.46
2013-04-02 08:50:00,0.0,6.894
2013-04-02 08:50:30,11.85,6.33
2013-04-02 09:00:00,2.995,5.76
2013-04-02 09:00:30,19.29,5.58
2013-04-02 09:10:00,0.0,5.408
2013-04-02 09:10:30,22.454,5.23
2013-04-02 09:20:00,0.0,5.056
2013-04-02 09:20:30,33.04,4.88
2013-04-02 09:30:00,25.314,4.704
2013-04-02 09:30:30,0.0,4.53
2013-04-02 09:40:00,4.509,4.352
2013-04-02 09:40:30,0.0,4.18
2013-04-02 09:50:00,7.371,4.0
2013-04-02 09:50:30,0.0,3.82
2013-04-02 10:00:00,11.658,3.648
2013-04-02 10:00:30,0.0,4.02
2013-04-02 10:10:00,3.38,4.4
2013-04-02 10:10:30,22.567,4.78
2013-04-02 10:20:00,0.0,5.152
2013-04-02 10:20:30,0.0,5.53
2013-04-02 10:30:00,20.999,5.904
2013-04-02 10:30:30,92.479,6.28
2013-04-02 10:40:00,0.0,6.655
2013-04-02 10:40:30,3.55,7.03
2013-04-02 10:50:00,4.237,7.407
2013-04-02 10:50:30,2.24,7.78
2013-04-02 11:00:00,17.859,8.159
2013-04-02 11:00:30,50.98,9.07
2013-04-02 11:10:00,15.707,9.979
2013-04-02 11:10:30,41.387,10.89
2013-04-02 11:20:00,0.0,11.799
2013-04-02 11:20:30,0.0,12.71
2013-04-02 11:30:00,13.366,13.619
2013-04-02 11:30:30,0.0,14.53
2013-04-02 11:40:00,69.979,15.439
2013-04-02 11:40:30,0.0,16.35
2013-04-02 11:50:00,0.0,17.259
2013-04-02 11:50:30,14.17,18.17
2013-04-02 12:00:00,51.294,19.079
2013-04-02 12:00:30,0.0,20.16
2013-04-02 12:10:00,22.933,21.234
2013-04-02 12:10:30,0.0,22.31
2013-04-02 12:20:00,23.874,23.388
2013-04-02 12:20:30,24.26,24.47
2013-04-02 12:30:00,0.0,25.543
2013-04-02 12:30:30,0.0,26.62
2013-04-02 12:40:00,28.982,27.698
2013-04-02 12:40:30,37.24,28.78
2013-04-02 12:50:00,0.0,29.852
2013-04-02 12:50:30,63.017,30.93
2013-04-02 13:00:00,59.711,32.007
2013-04-02 13:00:30,0.0,33.09
2013-04-02 13:10:00,44.849,34.169
2013-04-02 13:10:30,54.38,35.25
2013-04-02 13:20:00,51.613,36.33
2013-04-02 13:20:30,0.0,37.41
2013-04-02 13:30:00,68.892,38.492
2013-04-02 13:30:30,22.215,39.57
2013-04-02 13:40:00,39.814,40.654
2013-04-02 13:40:30,0.0,41.73
2013-04-02 13:50:00,65.525,42.815
2013-04-02 13:50:30,20.938,43.9
2013-04-02 14:00:00,40.452,44.977
2013-04-02 14:00:30,42.043,45.62
2013-04-02 14:10:00,0.187,46.267
2013-04-02 14:10:30,0.0,46.91
2013-04-02 14:20:00,12.008,47.558
2013-04-02 14:20:30,28.65,48.2
2013-04-02 14:30:00,74.309,48.849
2013-04-02 14:30:30,38.86,49.49
2013-04-02 14:40:00,54.039,50.139
2013-04-02 14:40:30,12.21,50.78
2013-04-02 14:50:00,0.0,51.429
2013-04-02 14:50:30,63.541,52.07
2013-04-02 15:00:00,6.04,52.72
2013-04-02 15:00:30,65.024,53.41
2013-04-02 15:10:00,42.146,54.094
2013-04-02 15:10:30,53.83,54.78
2013-04-02 15:20:00,81.471,55.468
2013-04-02 15:20:30,43.283,56.16
2013-04-02 15:30:00,81.552,56.842
2013-04-02 15:30:30,35.583,57.53
2013-04-02 15:40:00,52.183,58.216
2013-04-02 15:40:30,60.024,58.9
2013-04-02 15:50:00,59.64,59.59
2013-04-02 15:50:30,109.54,60.28
2013-04-02 16:00:00,81.274,60.964
2013-04-02 16:00:30,85.939,61.24
2013-04-02 16:10:00,92.985,61.516
2013-04-02 16:10:30,118.705,61.79
2013-04-02 16:20:00,82.668,62.068
2013-04-02 16:20:30,63.84,62.34
2013-04-02 16:30:00,0.0,62.62
2013-04-02 16:30:30,47.133,62.9
2013-04-02 16:40:00,0.0,63.172
2013-04-02 16:40:30,1.49,63.45
2013-04-02 16:50:00,0.0,63.724
2013-04-02 16:50:30,70.294,64.0
2013-04-02 17:00:00,100.892,64.276
2013-04-02 17:00:30,58.826,63.99
2013-04-02 17:10:00,0.0,63.71
2013-04-02 17:10:30,96.848,63.43
2013-04-02 17:20:00,57.286,63.144
2013-04-02 17:20:30,128.305,62.86
2013-04-02 17:30:00,69.643,62.578
2013-04-02 17:30:30,66.441,62.3
2013-04-02 17:40:00,84.852,62.012
2013-04-02 17:40:30,104.63,61.73
