yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-07-02 00:00:00,49.82,72.7
2013-07-02 00:00:30,71.51,72.46
2013-07-02 00:10:00,68.281,72.211
2013-07-02 00:10:30,71.082,71.97
2013-07-02 00:20:00,49.026,71.721
2013-07-02 00:20:30,85.07,71.48
2013-07-02 00:30:00,69.752,71.232
2013-07-02 00:30:30,66.154,70.99
2013-07-02 00:40:00,77.428,70.743
2013-07-02 00:40:30,44.04,70.5
2013-07-02 00:50:00,73.343,70.253
2013-07-02 00:50:30,75.517,70.01
2013-07-02 01:00:00,45.844,69.764
2013-07-02 01:00:30,76.898,69.3
2013-07-02 01:10:00,76.953,68.833
2013-07-02 01:10:30,46.987,68.37
2013-07-02 01:20:00,93.012,67.902
2013-07-02 01:20:30,69.11,67.44
2013-07-02 01:30:00,68.661,66.971
2013-07-02 01:30:30,114.444,66.51
2013-07-02 01:40:00,66.8,66.04
2013-07-02 01:40:30,62.005,65.57
2013-07-02 01:50:00,85.509,65.109
2013-07-02 01:50:30,54.397,64.64
2013-07-02 02:00:00,65.968,64.178
2013-07-02 02:00:30,47.57,63.67
2013-07-02 02:10:00,60.228,63.165
2013-07-02 02:10:30,45.1,62.66
2013-07-02 02:20:00,79.233,62.153
2013-07-02 02:20:30,39.904,61.65
2013-07-02 02:30:00,83.939,61.141
2013-07-02 02:30:30,70.76,60.63
2013-07-02 02:40:00,52.804,60.128
2013-07-02 02:40:30,77.55,59.62
2013-07-02 02:50:00,44.315,59.115
2013-07-02 02:50:30,62.92,58.61
2013-07-02 03:00:00,44.423,58.103
2013-07-02 03:00:30,58.07,57.88
2013-07-02 03:10:00,65.013,57.661
2013-07-02 03:10:30,48.446,57.44
2013-07-02 03:20:00,73.949,57.219
2013-07-02 03:20:30,45.23,57.0
2013-07-02 03:30:00,57.086,56.777
2013-07-02 03:30:30,51.88,56.56
2013-07-02 03:40:00,70.363,56.335
2013-07-02 03:40:30,41.205,56.11
2013-07-02 03:50:00,24.444,55.893
2013-07-02 03:50:30,33.218,55.67
2013-07-02 04:00:00,56.221,55.451
2013-07-02 04:00:30,46.82,55.24
2013-07-02 04:10:00,27.555,55.023
2013-07-02 04:10:30,84.84,54.81
2013-07-02 04:20:00,34.354,54.594
2013-07-02 04:20:30,56.03,54.38
2013-07-02 04:30:00,45.846,54.166
2013-07-02 04:30:30,63.539,53.95
2013-07-02 04:40:00,50.439,53.738
2013-07-02 04:40:30,44.867,53.52
2013-07-02 04:50:00,89.235,53.309
2013-07-02 04:50:30,50.52,53.1
2013-07-02 05:00:00,35.131,52.881
2013-07-02 05:00:30,50.145,52.73
2013-07-02 05:10:00,37.273,52.584
2013-07-02 05:10:30,46.961,52.44
2013-07-02 05:20:00,60.751,52.286
2013-07-02 05:20:30,62.24,52.14
2013-07-02 05:30:00,44.679,51.989
2013-07-02 05:30:30,43.884,51.84
2013-07-02 05:40:00,50.857,51.692
2013-07-02 05:40:30,41.614,51.54
2013-07-02 05:50:00,43.864,51.394
2013-07-02 05:50:30,50.994,51.25
2013-07-02 06:00:00,95.585,51.097
2013-07-02 06:00:30,58.562,50.84
2013-07-02 06:10:00,41.124,50.574
2013-07-02 06:10:30,50.11,50.31
2013-07-02 06:20:00,49.766,50.052
2013-07-02 06:20:30,83.1,49.79
2013-07-02 06:30:00,78.436,49.529
2013-07-02 06:30:30,59.655,49.27
2013-07-02 06:40:00,63.746,49.006
2013-07-02 06:40:30,62.86,48.74
2013-07-02 06:50:00,45.625,48.484
2013-07-02 06:50:30,53.7,48.22
2013-07-02 07:00:00,50.691,47.961
2013-07-02 07:00:30,36.35,46.95
2013-07-02 07:10:00,45.879,45.939
2013-07-02 07:10:30,46.456,44.93
2013-07-02 07:20:00,0.0,43.918
2013-07-02 07:20:30,41.473,42.91
2013-07-02 07:30:00,23.965,41.897
2013-07-02 07:30:30,56.51,40.89
2013-07-02 07:40:00,61.325,39.875
2013-07-02 07:40:30,47.47,38.86
2013-07-02 07:50:00,23.073,37.853
2013-07-02 07:50:30,36.05,36.84
2013-07-02 08:00:00,63.362,35.832
2013-07-02 08:00:30,49.3,35.42
2013-07-02 08:10:00,18.59,34.999
2013-07-02 08:10:30,58.359,34.58
2013-07-02 08:20:00,30.823,34.167
2013-07-02 08:20:30,30.023,33.75
2013-07-02 08:30:00,17.885,33.334
2013-07-02 08:30:30,29.831,32.92
2013-07-02 08:40:00,86.072,32.502
2013-07-02 08:40:30,3.79,32.09
2013-07-02 08:50:00,27.612,31.669
2013-07-02 08:50:30,23.107,31.25
2013-07-02 09:00:00,16.477,30.837
2013-07-02 09:00:30,53.33,30.61
2013-07-02 09:10:00,36.504,30.384
2013-07-02 09:10:30,0.0,30.16
2013-07-02 09:20:00,20.949,29.932
2013-07-02 09:20:30,28.86,29.71
2013-07-02 09:30:00,34.259,29.479
2013-07-02 09:30:30,25.87,29.25
2013-07-02 09:40:00,28.566,29.026
2013-07-02 09:40:30,24.59,28.8
2013-07-02 09:50:00,44.768,28.574
2013-07-02 09:50:30,27.125,28.35
2013-07-02 10:00:00,0.0,28.121
2013-07-02 10:00:30,66.617,28.18
2013-07-02 10:10:00,26.69,28.24
2013-07-02 10:10:30,44.61,28.3
2013-07-02 10:20:00,14.555,28.359
2013-07-02 10:20:30,25.669,28.42
2013-07-02 10:30:00,29.393,28.478
2013-07-02 10:30:30,14.93,28.54
2013-07-02 10:40:00,55.93,28.597
2013-07-02 10:40:30,41.9,28.66
2013-07-02 10:50:00,27.823,28.716
2013-07-02 10:50:30,25.29,28.78
2013-07-02 11:00:00,0.0,28.835
2013-07-02 11:00:30,65.267,29.12
2013-07-02 11:10:00,27.871,29.41
2013-07-02 11:10:30,18.15,29.7
2013-07-02 11:20:00,1.688,29.986
2013-07-02 11:20:30,18.668,30.27
2013-07-02 11:30:00,27.081,30.561
2013-07-02 11:30:30,26.423,30.85
2013-07-02 11:40:00,20.769,31.137
2013-07-02 11:40:30,30.44,31.42
2013-07-02 11:50:00,66.402,31.712
2013-07-02 11:50:30,11.73,32.0
2013-07-02 12:00:00,45.308,32.288
2013-07-02 12:00:30,33.19,32.48
2013-07-02 12:10:00,15.401,32.681
2013-07-02 12:10:30,49.07,32.88
2013-07-02 12:20:00,41.995,33.075
2013-07-02 12:20:30,31.74,33.27
2013-07-02 12:30:00,23.948,33.468
2013-07-02 12:30:30,53.935,33.67
2013-07-02 12:40:00,33.152,33.862
2013-07-02 12:40:30,22.82,34.06
2013-07-02 12:50:00,32.377,34.255
2013-07-02 12:50:30,53.742,34.45
2013-07-02 13:00:00,31.617,34.649
2013-07-02 13:00:30,61.647,34.64
2013-07-02 13:10:00,42.521,34.624
2013-07-02 13:10:30,32.0,34.61
2013-07-02 13:20:00,31.741,34.6
2013-07-02 13:20:30,33.689,34.59
2013-07-02 13:30:00,16.296,34.575
2013-07-02 13:30:30,32.63,34.56
2013-07-02 13:40:00,19.159,34.55
2013-07-02 13:40:30,45.25,34.54
2013-07-02 13:50:00,27.925,34.526
2013-07-02 13:50:30,33.636,34.51
2013-07-02 14:00:00,94.631,34.501
2013-07-02 14:00:30,33.853,34.97
2013-07-02 14:10:00,16.995,35.431
2013-07-02 14:10:30,63.91,35.9
2013-07-02 14:20:00,22.901,36.361
2013-07-02 14:20:30,40.36,36.83
2013-07-02 14:30:00,29.56,37.29
2013-07-02 14:30:30,45.14,37.75
2013-07-02 14:40:00,68.82,38.22
2013-07-02 14:40:30,9.747,38.68
2013-07-02 14:50:00,35.16,39.15
2013-07-02 14:50:30,66.98,39.61
2013-07-02 15:00:00,67.346,40.08
2013-07-02 15:00:30,42.14,39.88
2013-07-02 15:10:00,26.012,39.675
2013-07-02 15:10:30,38.696,39.47
2013-07-02 15:20:00,50.371,39.271
2013-07-02 15:20:30,49.042,39.07
2013-07-02 15:30:00,43.416,38.866
2013-07-02 15:30:30,37.858,38.66
2013-07-02 15:40:00,71.37,38.461
2013-07-02 15:40:30,25.34,38.26
2013-07-02 15:50:00,35.107,38.057
2013-07-02 15:50:30,21.952,37.85
2013-07-02 16:00:00,40.386,37.652
2013-07-02 16:00:30,41.015,36.84
2013-07-02 16:10:00,18.57,36.03
2013-07-02 16:10:30,35.16,35.22
2013-07-02 16:20:00,14.599,34.408
2013-07-02 16:20:30,25.222,33.6
2013-07-02 16:30:00,22.015,32.785
2013-07-02 16:30:30,30.9,31.97
2013-07-02 16:40:00,30.953,31.163
2013-07-02 16:40:30,30.334,30.35
2013-07-02 16:50:00,15.17,29.541
2013-07-02 16:50:30,21.74,28.73
2013-07-02 17:00:00,14.029,27.919
2013-07-02 17:00:30,35.408,27.26
2013-07-02 17:10:00,33.985,26.602
2013-07-02 17:10:30,22.166,25.94
2013-07-02 17:20:00,13.734,25.284
2013-07-02 17:20:30,18.85,24.62
2013-07-02 17:30:00,15.036,23.966
2013-07-02 17:30:30,24.215,23.31
2013-07-02 17:40:00,0.679,22.649
2013-07-02 17:40:30,26.629,21.99
2013-07-02 17:50:00,2.546,21.331
2013-07-02 17:50:30,0.0,20.67
2013-07-02 18:00:00,22.844,20.014
2013-07-02 18:00:30,18.3,19.5
2013-07-02 18:10:00,1.417,18.985
2013-07-02 18:10:30,8.404,18.47
2013-07-02 18:20:00,0.0,17.956
2013-07-02 18:20:30,1.33,17.44
2013-07-02 18:30:00,8.937,16.927
2013-07-02 18:30:30,32.052,16.41
2013-07-02 18:40:00,10.709,15.899
2013-07-02 18:40:30,39.169,15.38
2013-07-02 18:50:00,0.0,14.87
2013-07-02 18:50:30,13.25,14.36
2013-07-02 19:00:00,6.886,13.841
2013-07-02 19:00:30,0.0,14.54
2013-07-02 19:10:00,0.0,15.229
2013-07-02 19:10:30,40.29,15.92
2013-07-02 19:20:00,5.265,16.617
2013-07-02 19:20:30,17.67,17.31
2013-07-02 19:30:00,0.0,18.005
2013-07-02 19:30:30,9.589,18.7
2013-07-02 19:40:00,16.522,19.392
2013-07-02 19:40:30,5.258,20.09
2013-07-02 19:50:00,73.566,20.78
2013-07-02 19:50:30,2.11,21.47
2013-07-02 20:00:00,10.486,22.168
2013-07-02 20:00:30,22.25,22.62
2013-07-02 20:10:00,0.0,23.062
2013-07-02 20:10:30,42.42,23.51
2013-07-02 20:20:00,11.746,23.956
2013-07-02 20:20:30,6.783,24.4
2013-07-02 20:30:00,31.02,24.85
2013-07-02 20:30:30,38.276,25.3
2013-07-02 20:40:00,49.914,25.744
2013-07-02 20:40:30,44.57,26.19
2013-07-02 20:50:00,7.458,26.638
2013-07-02 20:50:30,27.03,27.08
2013-07-02 21:00:00,51.062,27.532
2013-07-02 21:00:30,7.96,27.98
2013-07-02 21:10:00,46.253,28.426
2013-07-02 21:10:30,35.361,28.87
2013-07-02 21:20:00,21.16,29.32
2013-07-02 21:20:30,14.199,29.77
2013-07-02 21:30:00,0.0,30.214
2013-07-02 21:30:30,25.34,30.66
2013-07-02 21:40:00,83.432,31.107
2013-07-02 21:40:30,26.292,31.55
2013-07-02 21:50:00,0.0,32.001
2013-07-02 21:50:30,26.44,32.45
2013-07-02 22:00:00,48.446,32.895
2013-07-02 22:00:30,31.692,32.39
2013-07-02 22:10:00,6.315,31.887
2013-07-02 22:10:30,15.653,31.38
2013-07-02 22:20:00,25.008,30.878
2013-07-02 22:20:30,38.628,30.37
2013-07-02 22:30:00,29.85,29.87
2013-07-02 22:30:30,29.03,29.37
2013-07-02 22:40:00,0.0,28.862
2013-07-02 22:40:30,39.998,28.36
2013-07-02 22:50:00,14.98,27.853
2013-07-02 22:50:30,0.0,27.35
2013-07-02 23:00:00,32.61,26.845
2013-07-02 23:00:30,40.16,26.12
2013-07-02 23:10:00,0.0,25.386
2013-07-02 23:10:30,10.104,24.66
2013-07-02 23:20:00,35.047,23.927
2013-07-02 23:20:30,23.87,23.2
2013-07-02 23:30:00,9.7,22.468
2013-07-02 23:30:30,0.0,21.74
2013-07-02 23:40:00,12.88,21.01
2013-07-02 23:40:30,20.228,20.28
2013-07-02 23:50:00,51.441,19.551
2013-07-02 23:50:30,0.0,18.82
2013-07-03 00:00:00,40.845,18.092
2013-07-03 00:00:30,21.174,17.27
2013-07-03 00:10:00,14.688,16.446
2013-07-03 00:10:30,21.992,15.62
2013-07-03 00:20:00,36.28,14.8
2013-07-03 00:20:30,54.57,13.98
2013-07-03 00:30:00,7.024,13.154
2013-07-03 00:30:30,0.0,12.33
2013-07-03 00:40:00,14.042,11.508
2013-07-03 00:40:30,17.23,10.68
2013-07-03 00:50:00,39.627,9.862
2013-07-03 00:50:30,6.237,9.04
2013-07-03 01:00:00,5.338,8.216
2013-07-03 01:00:30,0.0,7.87
2013-07-03 01:10:00,0.0,7.529
2013-07-03 01:10:30,34.337,7.19
2013-07-03 01:20:00,0.0,6.843
2013-07-03 01:20:30,0.0,6.5
2013-07-03 01:30:00,21.444,6.156
2013-07-03 01:30:30,9.29,5.81
2013-07-03 01:40:00,0.0,5.469
2013-07-03 01:40:30,0.0,5.13
2013-07-03 01:50:00,20.533,4.783
2013-07-03 01:50:30,0.0,4.44
2013-07-03 02:00:00,2.401,4.096
2013-07-03 02:00:30,0.0,4.0
2013-07-03 02:10:00,0.0,3.914
2013-07-03 02:10:30,0.0,3.82
2013-07-03 02:20:00,8.406,3.731
2013-07-03 02:20:30,0.0,3.64
2013-07-03 02:30:00,0.0,3.549
2013-07-03 02:30:30,36.493,3.46
2013-07-03 02:40:00,2.438,3.367
2013-07-03 02:40:30,0.0,3.28
2013-07-03 02:50:00,0.0,3.184
2013-07-03 02:50:30,0.0,3.09
2013-07-03 03:00:00,1.112,3.002
2013-07-03 03:00:30,0.0,2.94
2013-07-03 03:10:00,2.817,2.887
2013-07-03 03:10:30,0.0,2.83
2013-07-03 03:20:00,1.172,2.772
2013-07-03 03:20:30,15.1,2.71
2013-07-03 03:30:00,0.0,2.657
2013-07-03 03:30:30,0.0,2.6
2013-07-03 03:40:00,4.302,2.543
2013-07-03 03:40:30,1.757,2.49
2013-07-03 03:50:00,0.0,2.428
2013-07-03 03:50:30,0.0,2.37
2013-07-03 04:00:00,0.0,2.313
2013-07-03 04:00:30,49.589,2.26
2013-07-03 04:10:00,0.0,2.203
2013-07-03 04:10:30,1.599,2.15
2013-07-03 04:20:00,0.0,2.093
2013-07-03 04:20:30,0.0,2.04
2013-07-03 04:30:00,35.874,1.984
2013-07-03 04:30:30,0.0,1.93
2013-07-03 04:40:00,0.964,1.874
2013-07-03 04:40:30,6.033,1.82
2013-07-03 04:50:00,16.999,1.764
2013-07-03 04:50:30,0.0,1.71
2013-07-03 05:00:00,0.0,1.654
2013-07-03 05:00:30,0.0,1.6
2013-07-03 05:10:00,0.0,1.543
2013-07-03 05:10:30,9.86,1.49
2013-07-03 05:20:00,53.67,1.431
2013-07-03 05:20:30,7.61,1.38
2013-07-03 05:30:00,0.0,1.32
2013-07-03 05:30:30,0.0,1.26
2013-07-03 05:40:00,0.0,1.209
2013-07-03 05:40:30,0.0,1.15
2013-07-03 05:50:00,5.357,1.097
2013-07-03 05:50:30,48.46,1.04
2013-07-03 06:00:00,3.256,0.986
2013-07-03 06:00:30,0.0,0.93
2013-07-03 06:10:00,0.0,0.876
2013-07-03 06:10:30,0.0,0.82
2013-07-03 06:20:00,0.534,0.766
2013-07-03 06:20:30,0.0,0.71
2013-07-03 06:30:00,31.033,0.655
2013-07-03 06:30:30,0.0,0.6
2013-07-03 06:40:00,13.726,0.545
2013-07-03 06:40:30,0.0,0.49
2013-07-03 06:50:00,0.665,0.435
2013-07-03 06:50:30,0.0,0.38
2013-07-03 07:00:00,4.725,0.325
