yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-01-02 00:00:00,3.281,4.537
2013-01-02 00:00:30,0.0,4.61
2013-01-02 00:10:00,5.038,4.678
2013-01-02 00:10:30,14.4,4.75
2013-01-02 00:20:00,1.45,4.82
2013-01-02 00:20:30,4.802,4.89
2013-01-02 00:30:00,2.283,4.962
2013-01-02 00:30:30,13.46,5.03
2013-01-02 00:40:00,4.843,5.103
2013-01-02 00:40:30,8.228,5.17
2013-01-02 00:50:00,7.846,5.245
2013-01-02 00:50:30,4.693,5.32
2013-01-02 01:00:00,6.231,5.386
2013-01-02 01:00:30,14.55,5.43
2013-01-02 01:10:00,0.0,5.474
2013-01-02 01:10:30,10.097,5.52
2013-01-02 01:20:00,14.301,5.561
2013-01-02 01:20:30,2.521,5.6
2013-01-02 01:30:00,0.989,5.649
2013-01-02 01:30:30,0.0,5.69
2013-01-02 01:40:00,9.689,5.737
2013-01-02 01:40:30,0.0,5.78
2013-01-02 01:50:00,0.0,5.824
2013-01-02 01:50:30,1.56,5.87
2013-01-02 02:00:00,11.685,5.912
2013-01-02 02:00:30,0.51,5.98
2013-01-02 02:10:00,11.186,6.043
2013-01-02 02:10:30,14.548,6.11
2013-01-02 02:20:00,0.122,6.174
2013-01-02 02:20:30,2.995,6.24
2013-01-02 02:30:00,9.676,6.306
2013-01-02 02:30:30,8.673,6.37
2013-01-02 02:40:00,1.792,6.437
2013-01-02 02:40:30,2.53,6.5
2013-01-02 02:50:00,1.758,6.568
2013-01-02 02:50:30,2.278,6.63
2013-01-02 03:00:00,23.179,6.699
2013-01-02 03:00:30,3.08,6.72
2013-01-02 03:10:00,3.302,6.742
2013-01-02 03:10:30,10.72,6.76
2013-01-02 03:20:00,15.205,6.785
2013-01-02 03:20:30,5.56,6.81
2013-01-02 03:30:00,0.0,6.829
2013-01-02 03:30:30,10.438,6.85
2013-01-02 03:40:00,4.372,6.872
2013-01-02 03:40:30,7.2,6.89
2013-01-02 03:50:00,9.045,6.915
2013-01-02 03:50:30,1.34,6.94
2013-01-02 04:00:00,11.888,6.958
2013-01-02 04:00:30,0.0,6.89
2013-01-02 04:10:00,0.0,6.816
2013-01-02 04:10:30,6.94,6.75
2013-01-02 04:20:00,32.135,6.675
2013-01-02 04:20:30,0.0,6.6
2013-01-02 04:30:00,4.364,6.533
2013-01-02 04:30:30,10.684,6.46
2013-01-02 04:40:00,6.371,6.391
2013-01-02 04:40:30,0.071,6.32
2013-01-02 04:50:00,4.54,6.25
2013-01-02 04:50:30,11.32,6.18
2013-01-02 05:00:00,0.0,6.108
2013-01-02 05:00:30,0.0,6.1
2013-01-02 05:10:00,9.069,6.089
2013-01-02 05:10:30,2.5,6.08
2013-01-02 05:20:00,0.0,6.07
2013-01-02 05:20:30,9.47,6.06
2013-01-02 05:30:00,1.399,6.051
2013-01-02 05:30:30,0.0,6.04
2013-01-02 05:40:00,27.372,6.032
2013-01-02 05:40:30,1.485,6.02
2013-01-02 05:50:00,0.0,6.013
2013-01-02 05:50:30,18.011,6.0
2013-01-02 06:00:00,4.026,5.994
2013-01-02 06:00:30,0.0,6.12
2013-01-02 06:10:00,8.743,6.247
2013-01-02 06:10:30,8.583,6.37
2013-01-02 06:20:00,3.467,6.499
2013-01-02 06:20:30,2.05,6.63
2013-01-02 06:30:00,8.202,6.752
2013-01-02 06:30:30,2.612,6.88
2013-01-02 06:40:00,3.094,7.004
2013-01-02 06:40:30,12.207,7.13
2013-01-02 06:50:00,4.957,7.257
2013-01-02 06:50:30,7.75,7.38
2013-01-02 07:00:00,3.829,7.509
2013-01-02 07:00:30,7.79,7.69
2013-01-02 07:10:00,5.47,7.872
2013-01-02 07:10:30,0.0,8.05
2013-01-02 07:20:00,5.424,8.234
