yyyy-mm-dd HH:MM:SS, Actual, Fcst
2013-10-02 00:00:00,5.934,0.79
2013-10-02 00:00:30,13.083,0.74
2013-10-02 00:10:00,0.0,0.686
2013-10-02 00:10:30,0.0,0.63
2013-10-02 00:20:00,0.349,0.581
2013-10-02 00:20:30,0.0,0.53
2013-10-02 00:30:00,0.817,0.477
2013-10-02 00:30:30,1.73,0.42
2013-10-02 00:40:00,0.0,0.373
2013-10-02 00:40:30,0.0,0.32
2013-10-02 00:50:00,0.0,0.268
2013-10-02 00:50:30,0.0,0.22
2013-10-02 01:00:00,0.0,0.164
2013-10-02 01:00:30,0.0,0.18
2013-10-02 01:10:00,0.0,0.191
2013-10-02 01:10:30,0.0,0.2
2013-10-02 01:20:00,0.0,0.219
2013-10-02 01:20:30,0.0,0.23
2013-10-02 01:30:00,0.0,0.246
2013-10-02 01:30:30,0.0,0.26
2013-10-02 01:40:00,0.733,0.273
2013-10-02 01:40:30,7.13,0.29
2013-10-02 01:50:00,0.0,0.301
2013-10-02 01:50:30,0.0,0.31
2013-10-02 02:00:00,0.0,0.328
2013-10-02 02:00:30,0.358,0.36
2013-10-02 02:10:00,0.133,0.394
2013-10-02 02:10:30,0.0,0.43
2013-10-02 02:20:00,0.0,0.46
2013-10-02 02:20:30,0.0,0.49
2013-10-02 02:30:00,0.0,0.526
2013-10-02 02:30:30,5.762,0.56
2013-10-02 02:40:00,0.915,0.593
2013-10-02 02:40:30,0.883,0.63
2013-10-02 02:50:00,0.0,0.659
2013-10-02 02:50:30,0.0,0.69
2013-10-02 03:00:00,6.93,0.725
2013-10-02 03:00:30,0.0,0.78
2013-10-02 03:10:00,0.0,0.832
2013-10-02 03:10:30,6.966,0.89
2013-10-02 03:20:00,3.589,0.939
2013-10-02 03:20:30,0.0,0.99
2013-10-02 03:30:00,0.0,1.046
2013-10-02 03:30:30,11.09,1.1
2013-10-02 03:40:00,2.241,1.153
2013-10-02 03:40:30,0.0,1.21
2013-10-02 03:50:00,0.0,1.26
2013-10-02 03:50:30,0.0,1.31
2013-10-02 04:00:00,6.631,1.367
2013-10-02 04:00:30,14.1,1.47
2013-10-02 04:10:00,0.0,1.565
2013-10-02 04:10:30,6.57,1.66
2013-10-02 04:20:00,0.742,1.762
2013-10-02 04:20:30,0.0,1.86
2013-10-02 04:30:00,0.0,1.96
2013-10-02 04:30:30,2.02,2.06
2013-10-02 04:40:00,0.0,2.158
2013-10-02 04:40:30,9.58,2.26
2013-10-02 04:50:00,2.047,2.355
2013-10-02 04:50:30,11.27,2.45
2013-10-02 05:00:00,14.183,2.553
2013-10-02 05:00:30,1.617,2.61
2013-10-02 05:10:00,3.009,2.669
2013-10-02 05:10:30,0.9,2.73
2013-10-02 05:20:00,2.246,2.786
2013-10-02 05:20:30,6.97,2.84
2013-10-02 05:30:00,2.894,2.902
2013-10-02 05:30:30,0.0,2.96
2013-10-02 05:40:00,4.389,3.019
2013-10-02 05:40:30,0.0,3.08
2013-10-02 05:50:00,0.0,3.135
2013-10-02 05:50:30,0.0,3.19
2013-10-02 06:00:00,0.0,3.252
2013-10-02 06:00:30,0.22,3.34
2013-10-02 06:10:00,2.2,3.42
2013-10-02 06:10:30,0.0,3.5
2013-10-02 06:20:00,2.957,3.587
2013-10-02 06:20:30,5.338,3.67
2013-10-02 06:30:00,0.0,3.755
2013-10-02 06:30:30,0.0,3.84
2013-10-02 06:40:00,0.643,3.923
2013-10-02 06:40:30,11.57,4.01
2013-10-02 06:50:00,5.703,4.09
2013-10-02 06:50:30,4.04,4.17
2013-10-02 07:00:00,3.968,4.258
2013-10-02 07:00:30,0.0,4.34
2013-10-02 07:10:00,0.059,4.419
2013-10-02 07:10:30,4.277,4.5
2013-10-02 07:20:00,10.044,4.58
2013-10-02 07:20:30,0.0,4.66
2013-10-02 07:30:00,11.249,4.742
2013-10-02 07:30:30,14.29,4.82
2013-10-02 07:40:00,2.75,4.903
2013-10-02 07:40:30,2.77,4.98
2013-10-02 07:50:00,6.205,5.064
2013-10-02 07:50:30,9.58,5.14
2013-10-02 08:00:00,0.0,5.225
2013-10-02 08:00:30,6.234,5.18
2013-10-02 08:10:00,0.499,5.141
2013-10-02 08:10:30,0.87,5.1
2013-10-02 08:20:00,7.404,5.057
2013-10-02 08:20:30,5.08,5.02
2013-10-02 08:30:00,0.0,4.973
2013-10-02 08:30:30,3.02,4.93
2013-10-02 08:40:00,4.508,4.888
2013-10-02 08:40:30,0.0,4.85
2013-10-02 08:50:00,9.109,4.804
2013-10-02 08:50:30,0.0,4.76
2013-10-02 09:00:00,0.0,4.72
2013-10-02 09:00:30,0.0,4.59
2013-10-02 09:10:00,5.921,4.452
2013-10-02 09:10:30,0.0,4.32
2013-10-02 09:20:00,2.934,4.184
2013-10-02 09:20:30,0.0,4.05
2013-10-02 09:30:00,0.413,3.917
2013-10-02 09:30:30,5.99,3.78
2013-10-02 09:40:00,0.0,3.649
2013-10-02 09:40:30,0.866,3.51
2013-10-02 09:50:00,14.981,3.381
2013-10-02 09:50:30,8.38,3.25
2013-10-02 10:00:00,0.0,3.113
2013-10-02 10:00:30,0.0,3.17
2013-10-02 10:10:00,0.0,3.224
2013-10-02 10:10:30,2.43,3.28
2013-10-02 10:20:00,0.0,3.335
2013-10-02 10:20:30,0.0,3.39
2013-10-02 10:30:00,5.912,3.446
2013-10-02 10:30:30,0.0,3.5
2013-10-02 10:40:00,4.757,3.557
2013-10-02 10:40:30,0.0,3.61
2013-10-02 10:50:00,0.0,3.668
2013-10-02 10:50:30,0.76,3.72
2013-10-02 11:00:00,14.459,3.779
2013-10-02 11:00:30,3.926,3.77
2013-10-02 11:10:00,2.573,3.753
2013-10-02 11:10:30,0.0,3.74
2013-10-02 11:20:00,4.217,3.727
2013-10-02 11:20:30,0.0,3.71
2013-10-02 11:30:00,0.0,3.7
2013-10-02 11:30:30,0.0,3.69
2013-10-02 11:40:00,0.0,3.674
2013-10-02 11:40:30,5.57,3.66
2013-10-02 11:50:00,3.638,3.648
2013-10-02 11:50:30,5.65,3.64
2013-10-02 12:00:00,1.672,3.622
2013-10-02 12:00:30,9.99,3.55
2013-10-02 12:10:00,0.0,3.476
2013-10-02 12:10:30,0.0,3.4
2013-10-02 12:20:00,0.0,3.33
2013-10-02 12:20:30,0.0,3.26
2013-10-02 12:30:00,1.874,3.184
2013-10-02 12:30:30,0.0,3.11
2013-10-02 12:40:00,9.439,3.039
2013-10-02 12:40:30,4.98,2.97
2013-10-02 12:50:00,0.0,2.893
2013-10-02 12:50:30,2.53,2.82
2013-10-02 13:00:00,7.527,2.747
2013-10-02 13:00:30,0.0,2.7
2013-10-02 13:10:00,0.591,2.661
2013-10-02 13:10:30,5.96,2.62
2013-10-02 13:20:00,0.0,2.575
2013-10-02 13:20:30,7.002,2.53
2013-10-02 13:30:00,0.0,2.489
2013-10-02 13:30:30,0.0,2.45
2013-10-02 13:40:00,4.673,2.403
2013-10-02 13:40:30,1.55,2.36
2013-10-02 13:50:00,2.727,2.317
2013-10-02 13:50:30,9.25,2.27
2013-10-02 14:00:00,0.0,2.231
2013-10-02 14:00:30,0.0,2.2
2013-10-02 14:10:00,0.0,2.171
2013-10-02 14:10:30,7.672,2.14
2013-10-02 14:20:00,12.452,2.112
2013-10-02 14:20:30,6.19,2.08
2013-10-02 14:30:00,0.0,2.052
2013-10-02 14:30:30,4.398,2.02
2013-10-02 14:40:00,3.056,1.992
2013-10-02 14:40:30,3.165,1.96
2013-10-02 14:50:00,0.0,1.933
2013-10-02 14:50:30,0.0,1.9
2013-10-02 15:00:00,0.0,1.873
2013-10-02 15:00:30,4.6,1.88
2013-10-02 15:10:00,5.147,1.887
2013-10-02 15:10:30,0.97,1.89
2013-10-02 15:20:00,5.433,1.901
2013-10-02 15:20:30,0.0,1.91
2013-10-02 15:30:00,2.064,1.914
2013-10-02 15:30:30,0.0,1.92
2013-10-02 15:40:00,17.918,1.928
2013-10-02 15:40:30,0.0,1.94
2013-10-02 15:50:00,0.0,1.942
2013-10-02 15:50:30,3.488,1.95
2013-10-02 16:00:00,0.0,1.956
2013-10-02 16:00:30,3.085,2.01
2013-10-02 16:10:00,0.0,2.07
2013-10-02 16:10:30,0.0,2.13
2013-10-02 16:20:00,4.199,2.185
2013-10-02 16:20:30,0.0,2.24
2013-10-02 16:30:00,0.987,2.299
2013-10-02 16:30:30,0.0,2.36
2013-10-02 16:40:00,2.173,2.413
2013-10-02 16:40:30,0.0,2.47
2013-10-02 16:50:00,1.708,2.528
2013-10-02 16:50:30,7.589,2.58
2013-10-02 17:00:00,11.079,2.642
2013-10-02 17:00:30,0.68,2.64
2013-10-02 17:10:00,0.0,2.644
2013-10-02 17:10:30,1.322,2.64
2013-10-02 17:20:00,0.0,2.646
2013-10-02 17:20:30,0.0,2.65
2013-10-02 17:30:00,0.0,2.647
2013-10-02 17:30:30,0.0,2.65
2013-10-02 17:40:00,2.609,2.649
2013-10-02 17:40:30,4.974,2.65
2013-10-02 17:50:00,3.321,2.651
2013-10-02 17:50:30,0.0,2.65
2013-10-02 18:00:00,1.668,2.653
2013-10-02 18:00:30,0.0,2.88
2013-10-02 18:10:00,0.0,3.106
2013-10-02 18:10:30,2.164,3.33
2013-10-02 18:20:00,0.0,3.559
2013-10-02 18:20:30,5.34,3.79
2013-10-02 18:30:00,2.062,4.012
2013-10-02 18:30:30,4.452,4.24
2013-10-02 18:40:00,2.948,4.465
2013-10-02 18:40:30,2.154,4.69
2013-10-02 18:50:00,0.0,4.918
2013-10-02 18:50:30,0.0,5.14
2013-10-02 19:00:00,0.0,5.371
2013-10-02 19:00:30,5.1,5.47
2013-10-02 19:10:00,7.486,5.564
2013-10-02 19:10:30,3.289,5.66
2013-10-02 19:20:00,0.0,5.757
2013-10-02 19:20:30,3.083,5.85
2013-10-02 19:30:00,0.0,5.95
2013-10-02 19:30:30,14.698,6.05
2013-10-02 19:40:00,3.206,6.144
2013-10-02 19:40:30,9.445,6.24
2013-10-02 19:50:00,2.198,6.337
2013-10-02 19:50:30,16.31,6.43
2013-10-02 20:00:00,5.65,6.53
2013-10-02 20:00:30,4.083,6.74
2013-10-02 20:10:00,0.0,6.95
2013-10-02 20:10:30,6.24,7.16
2013-10-02 20:20:00,0.0,7.37
2013-10-02 20:20:30,14.92,7.58
2013-10-02 20:30:00,4.35,7.79
2013-10-02 20:30:30,1.497,8.0
2013-10-02 20:40:00,0.0,8.211
2013-10-02 20:40:30,0.0,8.42
2013-10-02 20:50:00,7.961,8.631
2013-10-02 20:50:30,2.514,8.84
2013-10-02 21:00:00,0.0,9.051
2013-10-02 21:00:30,0.0,9.26
2013-10-02 21:10:00,6.689,9.471
2013-10-02 21:10:30,7.446,9.68
2013-10-02 21:20:00,7.716,9.891
2013-10-02 21:20:30,0.0,10.1
2013-10-02 21:30:00,6.421,10.311
2013-10-02 21:30:30,15.82,10.52
2013-10-02 21:40:00,11.712,10.732
2013-10-02 21:40:30,0.0,10.94
2013-10-02 21:50:00,16.112,11.152
2013-10-02 21:50:30,7.318,11.36
2013-10-02 22:00:00,9.172,11.572
2013-10-02 22:00:30,2.14,11.48
